GeneSym	EnsembleID	Tissue/Cell Type
ALDH7A1	ENSP00000387123	fetus
PSMC5	ENSP00000310572	fetus
AHCYL1	ENSP00000358814	fetus
ARL8B	ENSP00000256496	fetus
CCDC47	ENSP00000225726	fetus
TCF25	ENSP00000263346	fetus
MAN1A2	ENSP00000348959	fetus
NDN	ENSP00000332643	fetus
PINK1	ENSP00000364204	fetus
RSRC2	ENSP00000330188	fetus
ARAF	ENSP00000366244	fetus
YY1AP1	ENSP00000295566	fetus
CDC37	ENSP00000222005	fetus
STARD7	ENSP00000338030	fetus
FXR1	ENSP00000350170	fetus
SLC29A1	ENSP00000360773	fetus
ADRM1	ENSP00000253003	fetus
BAG6	ENSP00000365131+ENSP00000395190	fetus
YIPF3	ENSP00000259737	fetus
NR1H2	ENSP00000253727	fetus
C1ORF43	ENSP00000357507	fetus
WDR45	ENSP00000348848	fetus
STOML2	ENSP00000348886	fetus
RNF167	ENSP00000262482	fetus
TADA3	ENSP00000307684	fetus
PRMT1	ENSP00000246789	fetus
AURKAIP1	ENSP00000319778	fetus
EIF5A	ENSP00000336702	fetus
PREB	ENSP00000260643	fetus
MRPL37	ENSP00000354086	fetus
NRD1	ENSP00000346890	fetus
RAD23B	ENSP00000350708	fetus
COPS7A	ENSP00000229251	fetus
TMEM109	ENSP00000227525	fetus
CHCHD2	ENSP00000378812	fetus
VDAC2	ENSP00000361686	fetus
NDUFS2	ENSP00000356972	fetus
PGM1	ENSP00000360125	fetus
MFGE8	ENSP00000268150	fetus
RNPS1	ENSP00000315859	fetus
ADSL	ENSP00000216194	fetus
RAB1B	ENSP00000310226	fetus
TWF2	ENSP00000303908	fetus
PPP1R15A	ENSP00000200453	fetus
INPPL1	ENSP00000298229	fetus
ECHS1	ENSP00000357535	fetus
PSMA7	ENSP00000359910	fetus
ATP5SL	ENSP00000221943	fetus
CD34	ENSP00000310036	fetus
AAMP	ENSP00000248450	fetus
FAM154A	ENSP00000369907	fetus
NOLC1	ENSP00000359024	fetus
CENPO	ENSP00000260662	fetus
WIPI2	ENSP00000288828	fetus
EBNA1BP2	ENSP00000236051	fetus
TMEM230	ENSP00000341364	fetus
RER1	ENSP00000302088	fetus
B4GALT3	ENSP00000320965	fetus
TXNDC12	ENSP00000360688	fetus
UBL3	ENSP00000370055	fetus
PPP1R11	ENSP00000412297	fetus
SIGMAR1	ENSP00000277010	fetus
PSMC4	ENSP00000157812	fetus
TNFAIP1	ENSP00000226225	fetus
EI24	ENSP00000278903	fetus
WASF2	ENSP00000396211	fetus
PSMA1	ENSP00000315309	fetus
UBAC2	ENSP00000383911	fetus
GM2A	ENSP00000349687	fetus
LAS1L	ENSP00000363944	fetus
SAMM50	ENSP00000345445	fetus
DNAJC8	ENSP00000263697	fetus
ARFGAP1	ENSP00000314615	fetus
ARSA	ENSP00000216124	fetus
GRB2	ENSP00000339007	fetus
CCNL2	ENSP00000383611	fetus
SF3A3	ENSP00000362110	fetus
WDR46	ENSP00000363746	fetus
RTFDC1	ENSP00000023939	fetus
CTNNBL1	ENSP00000355050	fetus
ANXA7	ENSP00000362010	fetus
KLHL21	ENSP00000366886	fetus
ATP6V1G1	ENSP00000363162	fetus
CPNE1	ENSP00000317257	fetus
AGPAT1	ENSP00000401287	fetus
SLC35C2	ENSP00000243896	fetus
APEH	ENSP00000296456	fetus
MCM4	ENSP00000262105	fetus
BOLA2	ENSP00000331127	fetus
WASH1	ENSP00000405426	fetus
H2AFY	ENSP00000353806	fetus
CELF1	ENSP00000351409	fetus
NUP62	ENSP00000305503	fetus
CHD4	ENSP00000349508	fetus
NHP2L1	ENSP00000215956	fetus
RUVBL2	ENSP00000221413	fetus
CTDSP2	ENSP00000381148	fetus
FKBP1A	ENSP00000371138	fetus
PHC2	ENSP00000257118	fetus
RALY	ENSP00000246194	fetus
RBM42	ENSP00000262633	fetus
SH2B1	ENSP00000337163	fetus
GSS	ENSP00000216951	fetus
UBAP2L	ENSP00000355343	fetus
FKBP4	ENSP00000001008	fetus
FUT8	ENSP00000353910	fetus
RNH1	ENSP00000346402	fetus
NEURL1	ENSP00000358795	fetus
PRKCA	ENSP00000284384	fetus
SLC7A5	ENSP00000261622	fetus
SREBF2	ENSP00000354476	fetus
CSNK1D	ENSP00000324464	fetus
ANAPC5	ENSP00000261819	fetus
HM13	ENSP00000381237	fetus
CCNB1	ENSP00000256442	fetus
YEATS2	ENSP00000306983	fetus
SSR1	ENSP00000244763	fetus
SERPINB6	ENSP00000338358	fetus
ATIC	ENSP00000236959	fetus
CYB5R3	ENSP00000338461	fetus
RCN1	ENSP00000054950	fetus
IDI1	ENSP00000370748	fetus
PPIF	ENSP00000225174	fetus
EIF2S2	ENSP00000364119	fetus
MCM3	ENSP00000229854	fetus
PFKL	ENSP00000269848	fetus
ASAP1	ENSP00000350297	fetus
INSIG1	ENSP00000344741	fetus
SCARB1	ENSP00000261693	fetus
WBP5	ENSP00000361740	fetus
ADI1	ENSP00000333666	fetus
ANKHD1	ENSP00000297183	fetus
ILF2	ENSP00000355011	fetus
GNL3	ENSP00000395772	fetus
PIK3CA	ENSP00000263967	fetus
PDCD6IP	ENSP00000307387	fetus
NELFCD	ENSP00000342300	fetus
PAPOLA	ENSP00000216277	fetus
WAC	ENSP00000346986	fetus
CAPN10	ENSP00000375844	fetus
FOXRED2	ENSP00000216187	fetus
DPYSL3	ENSP00000381526	fetus
GAS6	ENSP00000331831	fetus
ITM2A	ENSP00000362395	fetus
PCOLCE	ENSP00000223061	fetus
AASDHPPT	ENSP00000278618	fetus
MED28	ENSP00000237380	fetus
RNF11	ENSP00000242719	fetus
SNX6	ENSP00000355217	fetus
TYMS	ENSP00000315644	fetus
ACKR3	ENSP00000272928	fetus
BLZF1	ENSP00000327541	fetus
BPGM	ENSP00000342032	fetus
UXS1	ENSP00000387019	fetus
TMEM9B	ENSP00000311842	fetus
AGPAT5	ENSP00000285518	fetus
TCL6	ENSP00000348197	fetus
TBC1D10A	ENSP00000215790	fetus
ACTR6	ENSP00000188312	fetus
STS	ENSP00000217961	fetus
STRA6	ENSP00000326085	fetus
COPS2	ENSP00000299259	fetus
SLC12A4	ENSP00000318557	fetus
SLBP	ENSP00000417686	fetus
SIN3B	ENSP00000369131	fetus
SIDT2	ENSP00000314023	fetus
RASA1	ENSP00000274376	fetus
ARL2BP	ENSP00000219204	fetus
PTPRG	ENSP00000418112	fetus
PSMD10	ENSP00000217958	fetus
PSG1	ENSP00000244296	fetus
PRM2	ENSP00000241808	fetus
AMOTL2	ENSP00000249883	fetus
PLEKHA1	ENSP00000357986	fetus
OSER1	ENSP00000255174	fetus
NSG1	ENSP00000381049	fetus
LEPROTL1	ENSP00000412803	fetus
LARS2	ENSP00000265537	fetus
JAM2	ENSP00000420419	fetus
HPS1	ENSP00000326649	fetus
DUSP5	ENSP00000358596	fetus
GULP1	ENSP00000352047	fetus
GPRASP2	ENSP00000339057	fetus
GPATCH2	ENSP00000355902	fetus
GOLT1B	ENSP00000229314	fetus
GLT8D1	ENSP00000266014	fetus
CMTM3	ENSP00000353199	fetus
ARHGAP17	ENSP00000289968	fetus
SMEK2	ENSP00000339769	fetus
VRK3	ENSP00000324636	fetus
IMPAD1	ENSP00000262644	fetus
ENTPD1	ENSP00000360248	fetus
MAP3K7	ENSP00000358335	fetus
ZNF83	ENSP00000301096	fetus
FAM134C	ENSP00000309432	fetus
JAM3	ENSP00000299106	fetus
NFATC4	ENSP00000388910	fetus
PPP6R3	ENSP00000265636	fetus
ST5	ENSP00000319678	fetus
ITIH5	ENSP00000256861	fetus
STAT5B	ENSP00000293328	fetus
BCAP29	ENSP00000400718	fetus
EMC1	ENSP00000420608	fetus
TBC1D25	ENSP00000365962	fetus
RYBP	ENSP00000419494	fetus
RHOBTB1	ENSP00000338671	fetus
RBBP6	ENSP00000317872	fetus
PPP2R2A	ENSP00000370113	fetus
NUP153	ENSP00000262077	fetus
NECAP2	ENSP00000263498	fetus
MARK3	ENSP00000411397	fetus
EXT2	ENSP00000342656	fetus
KIAA0319L	ENSP00000318406	fetus
CD276	ENSP00000320084	fetus
LIMK2	ENSP00000339916	fetus
MFF	ENSP00000302037	fetus
SAMD12	ENSP00000314173	fetus
SIVA1	ENSP00000329213	fetus
MTFP1	ENSP00000266263	fetus
CD99L2	ENSP00000359403	fetus
DHX38	ENSP00000268482	fetus
NBR1	ENSP00000343479	fetus
DNM1L	ENSP00000266481	fetus
MCFD2	ENSP00000317271	fetus
SPIN1	ENSP00000365019	fetus
GNS	ENSP00000258145	fetus
SLC11A2	ENSP00000262052	fetus
ELP2	ENSP00000350967	fetus
GNL1	ENSP00000403576	fetus
RNF185	ENSP00000320508	fetus
C6ORF89	ENSP00000347322	fetus
IPO4	ENSP00000346453	fetus
ITPK1	ENSP00000267615	fetus
RHEB	ENSP00000262187	fetus
CHPF	ENSP00000243776	fetus
SEMA6A	ENSP00000345512	fetus
TRIM33	ENSP00000351250	fetus
CYP11A1	ENSP00000268053	fetus
CARHSP1	ENSP00000311847	fetus
ISYNA1	ENSP00000315147	fetus
SPG20	ENSP00000347314	fetus
SLC20A1	ENSP00000272542	fetus
PRL	ENSP00000302150	fetus
ELN	ENSP00000252034	fetus
TMEM263	ENSP00000280756	fetus
BCKDK	ENSP00000219794	fetus
GUCD1	ENSP00000386076	fetus
UBAC1	ENSP00000360821	fetus
CYB5R1	ENSP00000356218	fetus
SGTA	ENSP00000221566	fetus
ACSS1	ENSP00000316924	fetus
TRMT2A	ENSP00000252136	fetus
GLOD4	ENSP00000301329	fetus
CPSF2	ENSP00000298875	fetus
SLC5A6	ENSP00000310208	fetus
XPNPEP1	ENSP00000358694	fetus
ITGA6	ENSP00000386896	fetus
TM9SF1	ENSP00000261789	fetus
ASCC2	ENSP00000305502	fetus
SNRPA	ENSP00000243563	fetus
OLA1	ENSP00000284719	fetus
USP34	ENSP00000381577	fetus
CHID1	ENSP00000338838	fetus
COPS3	ENSP00000268717	fetus
POLR2C	ENSP00000219252	fetus
LEPRE1	ENSP00000296388	fetus
PLRG1	ENSP00000303191	fetus
DARS	ENSP00000264161	fetus
MS4A14	ENSP00000300187	fetus
SLC16A1	ENSP00000358640	fetus
SRSF10	ENSP00000420195	fetus
PRCP	ENSP00000377055	fetus
ACTR10	ENSP00000254286	fetus
SCAP	ENSP00000265565	fetus
ARFIP2	ENSP00000254584	fetus
SRP54	ENSP00000216774	fetus
ARL1	ENSP00000261636	fetus
VEZT	ENSP00000410083	fetus
SEC23B	ENSP00000262544	fetus
BRD4	ENSP00000263377	fetus
CPD	ENSP00000225719	fetus
PCYOX1	ENSP00000387654	fetus
TMEM167A	ENSP00000309619	fetus
DDX18	ENSP00000263239	fetus
ETF1	ENSP00000353741	fetus
MFSD2A	ENSP00000361895	fetus
DOK7	ENSP00000344432	fetus
GOLPH3	ENSP00000265070	fetus
PDXDC1	ENSP00000322807	fetus
STT3B	ENSP00000295770	fetus
ALDH18A1	ENSP00000360268	fetus
TOX4	ENSP00000262709	fetus
EIF2S1	ENSP00000256383	fetus
STK40	ENSP00000362221	fetus
CDIPT	ENSP00000219789	fetus
PSMD11	ENSP00000261712	fetus
CIAPIN1	ENSP00000377914	fetus
DUS1L	ENSP00000303515	fetus
TEX261	ENSP00000272438	fetus
USP9X	ENSP00000316357	fetus
DDX47	ENSP00000350698	fetus
UBE2Z	ENSP00000354201	fetus
AP1G1	ENSP00000377148	fetus
FAM13A	ENSP00000264344	fetus
ATG4B	ENSP00000384259	fetus
TAF6L	ENSP00000294168	fetus
NUMB	ENSP00000347169	fetus
MCPH1	ENSP00000342924	fetus
PEF1	ENSP00000362807	fetus
OLFML3	ENSP00000322273	fetus
CPSF7	ENSP00000345412	fetus
KLHDC2	ENSP00000298307	fetus
SCAMP2	ENSP00000268099	fetus
CHMP3	ENSP00000263856	fetus
ELL3	ENSP00000320346	fetus
HN1	ENSP00000348316	fetus
MLLT4	ENSP00000383623	fetus
NUDT21	ENSP00000300291	fetus
MRPL3	ENSP00000264995	fetus
TACC1	ENSP00000321703	fetus
MBTPS1	ENSP00000344223	fetus
RANBP2	ENSP00000283195	fetus
DGCR2	ENSP00000263196	fetus
RBPJ	ENSP00000345206	fetus
KLHL9	ENSP00000351933	fetus
PUM1	ENSP00000391723	fetus
KPNA6	ENSP00000362728	fetus
NBPF1	ENSP00000287968	fetus
PDHB	ENSP00000307241	fetus
MED15	ENSP00000263205	fetus
PPP2R5C	ENSP00000333905	fetus
RNF40	ENSP00000325677	fetus
LPP	ENSP00000318089	fetus
CANT1	ENSP00000307674	fetus
ZC3H11A	ENSP00000333253	fetus
HN1L	ENSP00000248098	fetus
CYB5B	ENSP00000308430	fetus
PSEN1	ENSP00000326366	fetus
TM9SF4	ENSP00000381104	fetus
C19ORF10	ENSP00000262947	fetus
CNOT2	ENSP00000229195	fetus
SH3GL1	ENSP00000269886	fetus
DCAF12	ENSP00000355114	fetus
ERLEC1	ENSP00000185150	fetus
TMEM184B	ENSP00000354441	fetus
FGFR1	ENSP00000380280	fetus
PSMD12	ENSP00000348442	fetus
RAB18	ENSP00000349415	fetus
BCLAF1	ENSP00000031135	fetus
LSM4	ENSP00000252816	fetus
SRP72	ENSP00000342181	fetus
TMX2	ENSP00000278422	fetus
VWA1	ENSP00000417185	fetus
POR	ENSP00000265302	fetus
LDLR	ENSP00000252444	fetus
PRSS23	ENSP00000358714	fetus
RAB10	ENSP00000264710	fetus
CLK3	ENSP00000391518	fetus
H1F0	ENSP00000344504	fetus
BAIAP2	ENSP00000316338	fetus
RBM23	ENSP00000352956	fetus
UBE4B	ENSP00000343001	fetus
NSFL1C	ENSP00000216879	fetus
SMARCB1	ENSP00000263121	fetus
PTPRF	ENSP00000353030	fetus
TBCD	ENSP00000347719	fetus
TRPC4AP	ENSP00000252015	fetus
UBA2	ENSP00000246548	fetus
RGPD4	ENSP00000386810	fetus
SOCS2	ENSP00000339428	fetus
CHMP1A	ENSP00000253475	fetus
DAP3	ENSP00000341692	fetus
PVRL2	ENSP00000252483	fetus
SLC25A1	ENSP00000215882	fetus
SLC4A2	ENSP00000311402	fetus
GATC	ENSP00000229384	fetus
TUG1	ENSP00000330965	fetus
GPBP1	ENSP00000401596	fetus
KHDRBS1	ENSP00000313829	fetus
CDH11	ENSP00000268603	fetus
RAI14	ENSP00000265109	fetus
SNAP23	ENSP00000249647	fetus
ISLR	ENSP00000249842	fetus
RAB4B	ENSP00000349560	fetus
SPTLC1	ENSP00000262554	fetus
STARD3	ENSP00000337446	fetus
LGALS8	ENSP00000309576	fetus
ABHD12	ENSP00000365725	fetus
NKIRAS2	ENSP00000303580	fetus
BCAT2	ENSP00000322991	fetus
CSGALNACT1	ENSP00000310891	fetus
ERGIC2	ENSP00000353270	fetus
YTHDF3	ENSP00000398476	fetus
TMEM150A	ENSP00000334708	fetus
RALB	ENSP00000272519	fetus
FAM156A	ENSP00000318182	fetus
PRRC1	ENSP00000296666	fetus
BMP1	ENSP00000305714	fetus
GRAMD3	ENSP00000285689	fetus
YIPF6	ENSP00000417573	fetus
DNAJB9	ENSP00000249356	fetus
SPCS3	ENSP00000264597	fetus
CYTH3	ENSP00000297044	fetus
SNX4	ENSP00000251775	fetus
SNX9	ENSP00000376024	fetus
PYCR2	ENSP00000342502	fetus
GGCX	ENSP00000233838	fetus
PAIP1	ENSP00000302768	fetus
NUFIP2	ENSP00000225388	fetus
FAM183A	ENSP00000334415	fetus
POLR2J3	ENSP00000368645	fetus
CPPED1	ENSP00000261660	fetus
ACSL4	ENSP00000339787	fetus
RBM22	ENSP00000199814	fetus
FNDC3A	ENSP00000417257	fetus
NEDD9	ENSP00000368759	fetus
DFNA5	ENSP00000339587	fetus
FAM32A	ENSP00000263384	fetus
NR3C1	ENSP00000231509	fetus
SEC24A	ENSP00000381823	fetus
ATF3	ENSP00000344352	fetus
RAP1A	ENSP00000348786	fetus
DOCK9	ENSP00000365643	fetus
MBD3	ENSP00000156825	fetus
DEGS1	ENSP00000316476	fetus
RFC2	ENSP00000055077	fetus
IFNGR2	ENSP00000290219	fetus
SH3BP5	ENSP00000373301	fetus
C19ORF48	ENSP00000301419	fetus
FAM120A	ENSP00000277165	fetus
FBXL18	ENSP00000371805	fetus
GMPR2	ENSP00000392859	fetus
DDT	ENSP00000215773	fetus
RXRA	ENSP00000419692	fetus
LMAN1	ENSP00000251047	fetus
PSMC6	ENSP00000401802	fetus
ANKRD10	ENSP00000267339	fetus
PYCR1	ENSP00000328858	fetus
LRFN4	ENSP00000312535	fetus
CAMK2G	ENSP00000319060	fetus
C11ORF31	ENSP00000373509	fetus
DCAF7	ENSP00000308344	fetus
JTB	ENSP00000271843	fetus
RRBP1	ENSP00000354045	fetus
AUP1	ENSP00000366748	fetus
PSMD13	ENSP00000396937	fetus
CDKN1A	ENSP00000244741	fetus
RCC2	ENSP00000364582	fetus
NMT1	ENSP00000258960	fetus
PERP	ENSP00000397157	fetus
ATP6V1D	ENSP00000216442	fetus
RSU1	ENSP00000339521	fetus
FASTKD2	ENSP00000236980	fetus
ERP44	ENSP00000262455	fetus
FUCA2	ENSP00000002165	fetus
MRGPRF	ENSP00000309782	fetus
FAM27C	ENSP00000366754+ENSP00000366765	fetus
SLC39A7	ENSP00000391735	fetus
UNG	ENSP00000242576	fetus
FRZB	ENSP00000295113	fetus
SCFD1	ENSP00000390783	fetus
CD47	ENSP00000355361	fetus
GSE1	ENSP00000253458	fetus
WDR34	ENSP00000361800	fetus
CTDSPL	ENSP00000273179	fetus
DLG5	ENSP00000361467	fetus
MTUS1	ENSP00000262102	fetus
RNF13	ENSP00000341361	fetus
SYNCRIP	ENSP00000358635	fetus
CORO1B	ENSP00000340211	fetus
EIF4A3	ENSP00000269349	fetus
NR2C2AP	ENSP00000332823	fetus
LTBR	ENSP00000228918	fetus
MPZL2	ENSP00000278937	fetus
TWIST1	ENSP00000242261	fetus
PPP4C	ENSP00000279387	fetus
MAOA	ENSP00000340684	fetus
EDEM2	ENSP00000363616	fetus
FAM129B	ENSP00000362409	fetus
PARVA	ENSP00000334008	fetus
TMEM214	ENSP00000238788	fetus
WNT2	ENSP00000265441	fetus
FLOT2	ENSP00000378368	fetus
RGL2	ENSP00000407088	fetus
PRICKLE2	ENSP00000295902	fetus
RRP7A	ENSP00000321449	fetus
STX7	ENSP00000356918	fetus
GNG12	ENSP00000360021	fetus
PAQR3	ENSP00000370019	fetus
NUDT5	ENSP00000419628	fetus
TRIOBP	ENSP00000384312	fetus
TRIP6	ENSP00000200457	fetus
SPNS1	ENSP00000309945	fetus
BTBD3	ENSP00000367471	fetus
MED13L	ENSP00000281928	fetus
ATXN10	ENSP00000252934	fetus
PITPNA	ENSP00000316809	fetus
PSMA2	ENSP00000223321	fetus
LIPG	ENSP00000261292	fetus
NPIPB3	ENSP00000399107	fetus
PPAP2B	ENSP00000294390	fetus
NCSTN	ENSP00000294785	fetus
UBE2H	ENSP00000347836	fetus
SPG21	ENSP00000204566	fetus
HSD17B4	ENSP00000256216	fetus
SDC2	ENSP00000307046	fetus
TRAM1	ENSP00000262213	fetus
MRPS27	ENSP00000261413	fetus
ECM1	ENSP00000358043	fetus
GRK5	ENSP00000376609	fetus
KPNA4	ENSP00000334373	fetus
MATN2	ENSP00000254898	fetus
KRAS	ENSP00000256078	fetus
AKAP8L	ENSP00000380557	fetus
BSDC1	ENSP00000397759	fetus
COPS7B	ENSP00000272995	fetus
DDX23	ENSP00000310723	fetus
PBXIP1	ENSP00000357448	fetus
HP1BP3	ENSP00000312625	fetus
SAFB	ENSP00000292123	fetus
MMS19	ENSP00000359818	fetus
RSRP1	ENSP00000243189	fetus
FAM60A	ENSP00000337477	fetus
METTL3	ENSP00000298717	fetus
MOV10	ENSP00000350028	fetus
CALCOCO1	ENSP00000262059	fetus
CDK5RAP3	ENSP00000344683	fetus
IP6K2	ENSP00000331103	fetus
WDR6	ENSP00000378857	fetus
MAN2B1	ENSP00000395473	fetus
MED24	ENSP00000348610	fetus
POLDIP3	ENSP00000252115	fetus
KRI1	ENSP00000320917	fetus
RAF1	ENSP00000251849	fetus
CDC42EP4	ENSP00000338258	fetus
CENPT	ENSP00000219172	fetus
KIF22	ENSP00000160827	fetus
MAN2C1	ENSP00000267978	fetus
MSL3	ENSP00000312244	fetus
UNC45A	ENSP00000407487	fetus
NT5C2	ENSP00000339479	fetus
HIST2H2BE	ENSP00000358151	fetus
NET1	ENSP00000347134	fetus
ALDH4A1	ENSP00000290597	fetus
MOB4	ENSP00000315702	fetus
PTPN1	ENSP00000360683	fetus
CTNNB1	ENSP00000344456	fetus
ATXN7L3	ENSP00000397259	fetus
AKT1	ENSP00000270202	fetus
CD300LF	ENSP00000327075	fetus
DDX3X	ENSP00000382840	fetus
MCM5	ENSP00000216122	fetus
SEPT9	ENSP00000391249	fetus
HNRNPUL1	ENSP00000375863	fetus
MCM2	ENSP00000265056	fetus
ATP1B3	ENSP00000286371	fetus
CYB561A3	ENSP00000294072	fetus
DNMT1	ENSP00000352516	fetus
ADAMTS1	ENSP00000284984	fetus
ANAPC16	ENSP00000299381	fetus
UBE2B	ENSP00000265339	fetus
MEST	ENSP00000223215	fetus
BZW2	ENSP00000258761	fetus
SLC25A11	ENSP00000225665	fetus
NDUFA10	ENSP00000252711	fetus
PDLIM5	ENSP00000321746	fetus
SORBS2	ENSP00000284776	fetus
B4GALT1	ENSP00000369055	fetus
RNPEP	ENSP00000295640	fetus
BST2	ENSP00000252593	fetus
F11R	ENSP00000289779	fetus
TM9SF2	ENSP00000365567	fetus
THBD	ENSP00000366307	fetus
LSR	ENSP00000354575	fetus
CD163	ENSP00000352071	fetus
FCGRT	ENSP00000221466	fetus
LPCAT1	ENSP00000283415	fetus
IFI27	ENSP00000298902	fetus
PDPN	ENSP00000294489	fetus
STARD10	ENSP00000335247	fetus
PDCD4	ENSP00000280154	fetus
ABI1	ENSP00000365312	fetus
CPSF3L	ENSP00000413493	fetus
MAEA	ENSP00000302830	fetus
TNFRSF1A	ENSP00000162749	fetus
RRM1	ENSP00000300738	fetus
DBNL	ENSP00000407950	fetus
AZIN1	ENSP00000321507	fetus
TPP1	ENSP00000299427	fetus
GNAI3	ENSP00000358867	fetus
COASY	ENSP00000377404	fetus
LRRC41	ENSP00000343298	fetus
DCAF11	ENSP00000323680	fetus
SHC1	ENSP00000401303	fetus
RELA	ENSP00000384273	fetus
CUX1	ENSP00000292535	fetus
STAU1	ENSP00000360922	fetus
GUSB	ENSP00000302728	fetus
LPCAT3	ENSP00000324944	fetus
PTCD3	ENSP00000254630	fetus
SLC35A2	ENSP00000247138	fetus
SUPT7L	ENSP00000336750	fetus
TRMT1	ENSP00000350352	fetus
DDX41	ENSP00000330349	fetus
PCNA	ENSP00000368438	fetus
SLC2A3	ENSP00000075120	fetus
ACTR1A	ENSP00000358921	fetus
SNRNP70	ENSP00000221448	fetus
TRA2B	ENSP00000416959	fetus
SHISA5	ENSP00000296444	fetus
BZW1	ENSP00000394316	fetus
TNPO1	ENSP00000336712	fetus
DDX39B	ENSP00000400326	fetus
RBM4	ENSP00000309166	fetus
TARDBP	ENSP00000240185	fetus
GTF3C5	ENSP00000361180	fetus
TXNRD1	ENSP00000412045	fetus
CSNK1A1	ENSP00000261798	fetus
PI4KAP2	ENSP00000413780	fetus
SNX17	ENSP00000233575	fetus
EWSR1	ENSP00000381031	fetus
HNRNPF	ENSP00000338477	fetus
KPNA2	ENSP00000332455	fetus
SURF4	ENSP00000361057	fetus
MGAT1	ENSP00000311888	fetus
WSB1	ENSP00000262394	fetus
YME1L1	ENSP00000318480	fetus
MARS	ENSP00000262027	fetus
NFYC	ENSP00000396620	fetus
RTCB	ENSP00000216038	fetus
MCAM	ENSP00000264036	fetus
VAT1	ENSP00000347872	fetus
RBM5	ENSP00000343054	fetus
C1QL3	ENSP00000298943	fetus
PHGDH	ENSP00000358417	fetus
MCM7	ENSP00000307288	fetus
SHMT2	ENSP00000333667	fetus
SEC61A1	ENSP00000243253	fetus
ACOT13	ENSP00000230048	fetus
HIGD1A	ENSP00000398064	fetus
SMPDL3A	ENSP00000357425	fetus
PSMB7	ENSP00000259457	fetus
ADH5	ENSP00000296412	fetus
CTTN	ENSP00000301843	fetus
KDELR2	ENSP00000258739	fetus
RDH11	ENSP00000370750	fetus
SYPL1	ENSP00000011473	fetus
PLOD1	ENSP00000196061	fetus
VAMP3	ENSP00000054666	fetus
AK2	ENSP00000346921	fetus
TMEM50A	ENSP00000363478	fetus
ILF3	ENSP00000404121	fetus
SAE1	ENSP00000270225	fetus
EIF2AK1	ENSP00000199389	fetus
PFKP	ENSP00000370517	fetus
SLMO2	ENSP00000348206	fetus
PPP2CA	ENSP00000418447	fetus
CBX3	ENSP00000336687	fetus
CHMP2B	ENSP00000263780	fetus
MLEC	ENSP00000228506	fetus
TMEM69	ENSP00000361095	fetus
LMAN2	ENSP00000303366	fetus
MAGED2	ENSP00000218439	fetus
PAICS	ENSP00000382595	fetus
CHURC1	ENSP00000246166	fetus
PTGES3	ENSP00000262033	fetus
TMED4	ENSP00000404042	fetus
PSMD3	ENSP00000264639	fetus
VPS35	ENSP00000299138	fetus
MAPK1IP1L	ENSP00000378851	fetus
MICB	ENSP00000407561	fetus
PXN	ENSP00000228307	fetus
SEC31A	ENSP00000347329	fetus
AP1M1	ENSP00000388996	fetus
LRRC59	ENSP00000225972	fetus
PLIN3	ENSP00000221957	fetus
APH1A	ENSP00000358105	fetus
GPAA1	ENSP00000347206	fetus
PPP2R4	ENSP00000351885	fetus
SNX5	ENSP00000366988	fetus
LIPA	ENSP00000337354	fetus
ARFGAP2	ENSP00000327309	fetus
OCLN	ENSP00000347379	fetus
WNK1	ENSP00000313059	fetus
TGOLN2	ENSP00000366603	fetus
DAG1	ENSP00000312435	fetus
POLD2	ENSP00000379148	fetus
LARP7	ENSP00000314311	fetus
SELT	ENSP00000380991	fetus
FKBP10	ENSP00000317232	fetus
IRAK1	ENSP00000358997	fetus
SLC39A1	ENSP00000309710	fetus
TFG	ENSP00000240851	fetus
NCKAP1	ENSP00000354251	fetus
EPAS1	ENSP00000263734	fetus
MYO1C	ENSP00000352834	fetus
ACP2	ENSP00000256997	fetus
SEPHS2	ENSP00000322498	fetus
CCNC	ENSP00000358222	fetus
SPOP	ENSP00000240327	fetus
RBM12	ENSP00000352668	fetus
SNX2	ENSP00000368831	fetus
AMD1	ENSP00000357880	fetus
MAGT1	ENSP00000354649	fetus
C5ORF24	ENSP00000337044	fetus
DHX29	ENSP00000251636	fetus
THUMPD1	ENSP00000370741	fetus
GNG10	ENSP00000363411	fetus
PTPLAD1	ENSP00000261875	fetus
SLC2A11	ENSP00000381399	fetus
FAM107B	ENSP00000181796	fetus
MTFR1	ENSP00000262146	fetus
PMPCB	ENSP00000249269	fetus
RAB6A	ENSP00000311449	fetus
SLC38A1	ENSP00000381634	fetus
ST7	ENSP00000265437	fetus
EXOSC3	ENSP00000323046	fetus
GDAP2	ENSP00000358451	fetus
GLB1	ENSP00000306920	fetus
PTK2	ENSP00000341189	fetus
MFSD1	ENSP00000264266	fetus
WLS	ENSP00000346829	fetus
USP10	ENSP00000219473	fetus
GDE1	ENSP00000261386	fetus
TMCO1	ENSP00000356856	fetus
PEX19	ENSP00000357051	fetus
ADD3	ENSP00000348381	fetus
BBS1	ENSP00000353701	fetus
GORASP2	ENSP00000234160	fetus
NASP	ENSP00000345532	fetus
MAP1LC3B	ENSP00000268607	fetus
MAPRE1	ENSP00000364721	fetus
SCARB2	ENSP00000264896	fetus
HNRNPA3	ENSP00000376309	fetus
AHCY	ENSP00000217426	fetus
EIF6	ENSP00000363559	fetus
SLC9A3R1	ENSP00000262613	fetus
PSMB1	ENSP00000262193	fetus
PGD	ENSP00000270776	fetus
