GeneSym	EnsembleID	GO_anno
HMGCL	ENSP00000363614	intracellular membrane-bounded organelle
HSD17B10	ENSP00000168216	intracellular membrane-bounded organelle
ERAL1	ENSP00000254928	intracellular membrane-bounded organelle
CYP11A1	ENSP00000268053	intracellular membrane-bounded organelle
ATAD3A	ENSP00000368030	intracellular membrane-bounded organelle
CLPX	ENSP00000300107	intracellular membrane-bounded organelle
CPS1	ENSP00000402608	intracellular membrane-bounded organelle
HADHA	ENSP00000370023	intracellular membrane-bounded organelle
UQCC2	ENSP00000363348	intracellular membrane-bounded organelle
MRPL17	ENSP00000288937	intracellular membrane-bounded organelle
MTG1	ENSP00000323047	intracellular membrane-bounded organelle
MTG2	ENSP00000359859	intracellular membrane-bounded organelle
ACADVL	ENSP00000325395	intracellular membrane-bounded organelle
CPT2	ENSP00000360541	intracellular membrane-bounded organelle
TYMS	ENSP00000315644	intracellular membrane-bounded organelle
TIMM13	ENSP00000215570	intracellular membrane-bounded organelle
ATP5D	ENSP00000215375	intracellular membrane-bounded organelle
ATP5E	ENSP00000243997	intracellular membrane-bounded organelle
ATP5EP2	ENSP00000370414	intracellular membrane-bounded organelle
ATP5G1	ENSP00000348205	intracellular membrane-bounded organelle
ATP5G2	ENSP00000377878	intracellular membrane-bounded organelle
ATP5G3	ENSP00000284727	intracellular membrane-bounded organelle
ATP8	ENSP00000355265	intracellular membrane-bounded organelle
C14ORF2	ENSP00000401770	intracellular membrane-bounded organelle
ATP5I	ENSP00000306003	intracellular membrane-bounded organelle
ATP5J	ENSP00000389649	intracellular membrane-bounded organelle
ATP5S	ENSP00000308334	intracellular membrane-bounded organelle
ABCB10	ENSP00000355637	intracellular membrane-bounded organelle
TMEM70	ENSP00000312599	intracellular membrane-bounded organelle
COA1	ENSP00000223336	intracellular membrane-bounded organelle
MCUR1	ENSP00000368468	intracellular membrane-bounded organelle
SMDT1	ENSP00000327467	intracellular membrane-bounded organelle
COA3	ENSP00000354762	intracellular membrane-bounded organelle
L2HGDH	ENSP00000267436	intracellular membrane-bounded organelle
COX18	ENSP00000295890	intracellular membrane-bounded organelle
PPOX	ENSP00000343943	intracellular membrane-bounded organelle
TIMM17A	ENSP00000356256	intracellular membrane-bounded organelle
TIMM17B	ENSP00000365766	intracellular membrane-bounded organelle
TIMM23	ENSP00000260867	intracellular membrane-bounded organelle
ETFDH	ENSP00000303552	intracellular membrane-bounded organelle
OXA1L	ENSP00000285848	intracellular membrane-bounded organelle
SLC8B1	ENSP00000202831	intracellular membrane-bounded organelle
TMEM11	ENSP00000319992	intracellular membrane-bounded organelle
CCDC109B	ENSP00000378145	intracellular membrane-bounded organelle
MCU	ENSP00000362144	intracellular membrane-bounded organelle
MICU1	ENSP00000381748	intracellular membrane-bounded organelle
JMJD7	ENSP00000380467	intracellular membrane-bounded organelle
JMJD7-PLA2G4B	ENSP00000371886	intracellular membrane-bounded organelle
PLA2G4B	ENSP00000396045	intracellular membrane-bounded organelle
ACACB	ENSP00000367079	intracellular membrane-bounded organelle
PMAIP1	ENSP00000326119	intracellular membrane-bounded organelle
BAD	ENSP00000309103	intracellular membrane-bounded organelle
BBC3	ENSP00000404503	intracellular membrane-bounded organelle
HK2	ENSP00000290573	intracellular membrane-bounded organelle
MOAP1	ENSP00000298894	intracellular membrane-bounded organelle
HK1	ENSP00000348697	intracellular membrane-bounded organelle
BCL2A1	ENSP00000267953	intracellular membrane-bounded organelle
GK3P	ENSP00000401574	intracellular membrane-bounded organelle
SPATA19	ENSP00000299140	intracellular membrane-bounded organelle
ST20	ENSP00000319125	intracellular membrane-bounded organelle
SPATA18	ENSP00000295213	intracellular membrane-bounded organelle
NLRX1	ENSP00000292199	intracellular membrane-bounded organelle
MTX3	ENSP00000398748	intracellular membrane-bounded organelle
MTX2	ENSP00000249442	intracellular membrane-bounded organelle
MSTO1	ENSP00000245564	intracellular membrane-bounded organelle
CYP27B1	ENSP00000228606	intracellular membrane-bounded organelle
BOK	ENSP00000314132	intracellular membrane-bounded organelle
MLXIP	ENSP00000312834	intracellular membrane-bounded organelle
AKAP1	ENSP00000337736	intracellular membrane-bounded organelle
CHKB	ENSP00000312189+ENSP00000384400	intracellular membrane-bounded organelle
BRI3BP	ENSP00000340761	intracellular membrane-bounded organelle
CYB5B	ENSP00000308430	intracellular membrane-bounded organelle
GPAT2	ENSP00000352547	intracellular membrane-bounded organelle
IFI27	ENSP00000298902	intracellular membrane-bounded organelle
LETMD1	ENSP00000262055	intracellular membrane-bounded organelle
MAOA	ENSP00000340684	intracellular membrane-bounded organelle
MFN1	ENSP00000263969	intracellular membrane-bounded organelle
MIEF1	ENSP00000327124	intracellular membrane-bounded organelle
MIEF2	ENSP00000379057	intracellular membrane-bounded organelle
PLD6	ENSP00000317177	intracellular membrane-bounded organelle
SNN	ENSP00000329287	intracellular membrane-bounded organelle
USP30	ENSP00000257548	intracellular membrane-bounded organelle
BCL2L10	ENSP00000260442	intracellular membrane-bounded organelle
TOMM34	ENSP00000361900	intracellular membrane-bounded organelle
GPAM	ENSP00000265276	intracellular membrane-bounded organelle
MARC1	ENSP00000355877	intracellular membrane-bounded organelle
MTX1	ENSP00000357360	intracellular membrane-bounded organelle
GIMAP5	ENSP00000351473	intracellular membrane-bounded organelle
TOMM20L	ENSP00000354204	intracellular membrane-bounded organelle
TOMM5	ENSP00000384411	intracellular membrane-bounded organelle
TOMM7	ENSP00000351214	intracellular membrane-bounded organelle
TOMM70A	ENSP00000284320	intracellular membrane-bounded organelle
TOMM22	ENSP00000216034	intracellular membrane-bounded organelle
TOMM6	ENSP00000381856	intracellular membrane-bounded organelle
TOMM40L	ENSP00000356966	intracellular membrane-bounded organelle
SOX10	ENSP00000354130	intracellular membrane-bounded organelle
BCL2L11	ENSP00000350311	intracellular membrane-bounded organelle
RAF1	ENSP00000251849	intracellular membrane-bounded organelle
ACSL3	ENSP00000350012	intracellular membrane-bounded organelle
AIFM2	ENSP00000312370	intracellular membrane-bounded organelle
SPG20	ENSP00000347314	intracellular membrane-bounded organelle
ARMCX3	ENSP00000340672	intracellular membrane-bounded organelle
FUNDC1	ENSP00000367284	intracellular membrane-bounded organelle
MGARP	ENSP00000381928	intracellular membrane-bounded organelle
SYNJ2BP	ENSP00000256366	intracellular membrane-bounded organelle
GDAP1	ENSP00000220822	intracellular membrane-bounded organelle
CPT1A	ENSP00000265641	intracellular membrane-bounded organelle
MUL1	ENSP00000264198	intracellular membrane-bounded organelle
RHOT1	ENSP00000351132	intracellular membrane-bounded organelle
BAK1	ENSP00000363591	intracellular membrane-bounded organelle
MFF	ENSP00000302037	intracellular membrane-bounded organelle
MFN2	ENSP00000235329	intracellular membrane-bounded organelle
FIS1	ENSP00000223136	intracellular membrane-bounded organelle
MAVS	ENSP00000401980	intracellular membrane-bounded organelle
PGAM5	ENSP00000321503	intracellular membrane-bounded organelle
ATF2	ENSP00000264110	intracellular membrane-bounded organelle
PGR	ENSP00000325120	intracellular membrane-bounded organelle
MCL1	ENSP00000358022	intracellular membrane-bounded organelle
OPA1	ENSP00000354681	intracellular membrane-bounded organelle
STAR	ENSP00000276449	intracellular membrane-bounded organelle
ABCG2	ENSP00000237612	intracellular membrane-bounded organelle
BCS1L	ENSP00000352219	intracellular membrane-bounded organelle
UQCRH	ENSP00000309565	intracellular membrane-bounded organelle
UQCRFS1	ENSP00000306397	intracellular membrane-bounded organelle
UQCRC1	ENSP00000203407	intracellular membrane-bounded organelle
UQCRB	ENSP00000287022	intracellular membrane-bounded organelle
UQCR10	ENSP00000332887	intracellular membrane-bounded organelle
UQCRC2	ENSP00000268379	intracellular membrane-bounded organelle
COX4I2	ENSP00000365243	intracellular membrane-bounded organelle
COX6A1	ENSP00000229379	intracellular membrane-bounded organelle
COX6A2	ENSP00000287490	intracellular membrane-bounded organelle
NDUFA1	ENSP00000360492	intracellular membrane-bounded organelle
NDUFB11	ENSP00000276062	intracellular membrane-bounded organelle
NDUFB6	ENSP00000369176	intracellular membrane-bounded organelle
NDUFA11	ENSP00000311740	intracellular membrane-bounded organelle
NDUFC1	ENSP00000265500	intracellular membrane-bounded organelle
NDUFC2	ENSP00000281031	intracellular membrane-bounded organelle
NDUFA3	ENSP00000398290	intracellular membrane-bounded organelle
NDUFB5	ENSP00000259037	intracellular membrane-bounded organelle
NDUFB8	ENSP00000299166	intracellular membrane-bounded organelle
NDUFA12	ENSP00000330737	intracellular membrane-bounded organelle
NDUFA2	ENSP00000252102	intracellular membrane-bounded organelle
NDUFAF1	ENSP00000260361	intracellular membrane-bounded organelle
NDUFA5	ENSP00000347988	intracellular membrane-bounded organelle
NDUFS4	ENSP00000296684	intracellular membrane-bounded organelle
NDUFS5	ENSP00000362058	intracellular membrane-bounded organelle
NDUFS6	ENSP00000274137	intracellular membrane-bounded organelle
NDUFS8	ENSP00000315774	intracellular membrane-bounded organelle
NDUFV1	ENSP00000322450	intracellular membrane-bounded organelle
NDUFV2	ENSP00000327268	intracellular membrane-bounded organelle
NDUFV3	ENSP00000346196	intracellular membrane-bounded organelle
NDUFA6	ENSP00000330937	intracellular membrane-bounded organelle
NDUFB2	ENSP00000247866	intracellular membrane-bounded organelle
NDUFA7	ENSP00000301457	intracellular membrane-bounded organelle
NDUFS2	ENSP00000356972	intracellular membrane-bounded organelle
NDUFS3	ENSP00000263774	intracellular membrane-bounded organelle
NDUFA8	ENSP00000362873	intracellular membrane-bounded organelle
NDUFB7	ENSP00000215565	intracellular membrane-bounded organelle
NDUFS1	ENSP00000233190	intracellular membrane-bounded organelle
NDUFA10	ENSP00000252711	intracellular membrane-bounded organelle
NDUFAB1	ENSP00000007516	intracellular membrane-bounded organelle
NDUFA9	ENSP00000266544	intracellular membrane-bounded organelle
NDUFS7	ENSP00000233627	intracellular membrane-bounded organelle
NDUFA13	ENSP00000380364	intracellular membrane-bounded organelle
NDUFA4	ENSP00000339720	intracellular membrane-bounded organelle
NDUFB1	ENSP00000330787	intracellular membrane-bounded organelle
NDUFB3	ENSP00000237889	intracellular membrane-bounded organelle
NDUFB10	ENSP00000268668	intracellular membrane-bounded organelle
NDUFB9	ENSP00000276689	intracellular membrane-bounded organelle
NDUFB4	ENSP00000184266	intracellular membrane-bounded organelle
SDHA	ENSP00000264932	intracellular membrane-bounded organelle
SDHC	ENSP00000356953	intracellular membrane-bounded organelle
SDHD	ENSP00000364699	intracellular membrane-bounded organelle
SDHB	ENSP00000364649	intracellular membrane-bounded organelle
STOML2	ENSP00000348886	intracellular membrane-bounded organelle
ABCB8	ENSP00000351717	intracellular membrane-bounded organelle
TIMM50	ENSP00000318115	intracellular membrane-bounded organelle
BCL2L1	ENSP00000302564	intracellular membrane-bounded organelle
ABCF2	ENSP00000222388	intracellular membrane-bounded organelle
MICU2	ENSP00000371811	intracellular membrane-bounded organelle
ACAD11	ENSP00000264990	intracellular membrane-bounded organelle
FNDC1	ENSP00000297267	intracellular membrane-bounded organelle
ADAP2	ENSP00000329468	intracellular membrane-bounded organelle
HSD17B8	ENSP00000363794+ENSP00000406488	intracellular membrane-bounded organelle
CIDEA	ENSP00000339344	intracellular membrane-bounded organelle
STARD13	ENSP00000338785	intracellular membrane-bounded organelle
ACN9	ENSP00000414066	intracellular membrane-bounded organelle
CHCHD4	ENSP00000295767	intracellular membrane-bounded organelle
COX17	ENSP00000261070	intracellular membrane-bounded organelle
SLMO1	ENSP00000338988	intracellular membrane-bounded organelle
SLMO2	ENSP00000348206	intracellular membrane-bounded organelle
PRELID2	ENSP00000335675	intracellular membrane-bounded organelle
GFER	ENSP00000248114	intracellular membrane-bounded organelle
PANK2	ENSP00000313377	intracellular membrane-bounded organelle
TXNIP	ENSP00000358323	intracellular membrane-bounded organelle
PRELID1	ENSP00000302114	intracellular membrane-bounded organelle
TRIAP1	ENSP00000304997	intracellular membrane-bounded organelle
DTYMK	ENSP00000304802	intracellular membrane-bounded organelle
SIRT5	ENSP00000368552	intracellular membrane-bounded organelle
SUOX	ENSP00000266971	intracellular membrane-bounded organelle
FBXL4	ENSP00000229971	intracellular membrane-bounded organelle
PNPT1	ENSP00000393953	intracellular membrane-bounded organelle
CIAPIN1	ENSP00000377914	intracellular membrane-bounded organelle
REXO2	ENSP00000265881	intracellular membrane-bounded organelle
ABCB6	ENSP00000265316	intracellular membrane-bounded organelle
BID	ENSP00000318822	intracellular membrane-bounded organelle
RHOT2	ENSP00000321971	intracellular membrane-bounded organelle
TOMM40	ENSP00000252487	intracellular membrane-bounded organelle
BCL2L2	ENSP00000250405	intracellular membrane-bounded organelle
GK	ENSP00000368226	intracellular membrane-bounded organelle
GK2	ENSP00000351706	intracellular membrane-bounded organelle
SH3GLB1	ENSP00000212369	intracellular membrane-bounded organelle
MARC2	ENSP00000355880	intracellular membrane-bounded organelle
COASY	ENSP00000377404	intracellular membrane-bounded organelle
CISD1	ENSP00000363041	intracellular membrane-bounded organelle
VAT1	ENSP00000347872	intracellular membrane-bounded organelle
SLC44A1	ENSP00000363852	intracellular membrane-bounded organelle
KMO	ENSP00000355517	intracellular membrane-bounded organelle
MAOB	ENSP00000367309	intracellular membrane-bounded organelle
VDAC3	ENSP00000388732	intracellular membrane-bounded organelle
SAMM50	ENSP00000345445	intracellular membrane-bounded organelle
TSPO	ENSP00000328973	intracellular membrane-bounded organelle
ACSL4	ENSP00000339787	intracellular membrane-bounded organelle
ALDH3A2	ENSP00000345774	intracellular membrane-bounded organelle
CYB5A	ENSP00000341625	intracellular membrane-bounded organelle
BAX	ENSP00000293288	intracellular membrane-bounded organelle
CYB5R3	ENSP00000338461	intracellular membrane-bounded organelle
ACAA2	ENSP00000285093	intracellular membrane-bounded organelle
CKMT1B	ENSP00000300283	intracellular membrane-bounded organelle
COX5A	ENSP00000317780	intracellular membrane-bounded organelle
COX5B	ENSP00000258424	intracellular membrane-bounded organelle
DNAJC11	ENSP00000366800	intracellular membrane-bounded organelle
CKMT1A	ENSP00000371113	intracellular membrane-bounded organelle
EFHD1	ENSP00000264059	intracellular membrane-bounded organelle
CHCHD3	ENSP00000262570	intracellular membrane-bounded organelle
COX4I1	ENSP00000253452	intracellular membrane-bounded organelle
GATM	ENSP00000379895	intracellular membrane-bounded organelle
GHITM	ENSP00000361207	intracellular membrane-bounded organelle
SLC25A25	ENSP00000362159	intracellular membrane-bounded organelle
MTCH2	ENSP00000303222	intracellular membrane-bounded organelle
SLC25A1	ENSP00000215882	intracellular membrane-bounded organelle
HAAO	ENSP00000294973	intracellular membrane-bounded organelle
COX7A2	ENSP00000230459	intracellular membrane-bounded organelle
GPX4	ENSP00000346103	intracellular membrane-bounded organelle
MPST	ENSP00000380318	intracellular membrane-bounded organelle
ACAT1	ENSP00000265838	intracellular membrane-bounded organelle
ECI1	ENSP00000301729	intracellular membrane-bounded organelle
IDH2	ENSP00000331897	intracellular membrane-bounded organelle
TST	ENSP00000249042	intracellular membrane-bounded organelle
GSTK1	ENSP00000367415	intracellular membrane-bounded organelle
GOT2	ENSP00000245206	intracellular membrane-bounded organelle
MDH2	ENSP00000327070	intracellular membrane-bounded organelle
TRAP1	ENSP00000246957	intracellular membrane-bounded organelle
SHMT2	ENSP00000333667	intracellular membrane-bounded organelle
SOD2	ENSP00000337127	intracellular membrane-bounded organelle
SORD	ENSP00000267814	intracellular membrane-bounded organelle
PHB2	ENSP00000382362	intracellular membrane-bounded organelle
POLG	ENSP00000268124	intracellular membrane-bounded organelle
SUCLG1	ENSP00000377446	intracellular membrane-bounded organelle
ATP5A1	ENSP00000282050	intracellular membrane-bounded organelle
ATP5C1	ENSP00000349142	intracellular membrane-bounded organelle
ATP5B	ENSP00000262030	intracellular membrane-bounded organelle
ATP5F1	ENSP00000358737	intracellular membrane-bounded organelle
ATP5H	ENSP00000301587	intracellular membrane-bounded organelle
ATP5L	ENSP00000300688	intracellular membrane-bounded organelle
ATP5J2	ENSP00000292475	intracellular membrane-bounded organelle
USMG5	ENSP00000311245	intracellular membrane-bounded organelle
ATP5O	ENSP00000290299	intracellular membrane-bounded organelle
AK2	ENSP00000346921	intracellular membrane-bounded organelle
NPHS1	ENSP00000368190	intracellular membrane-bounded organelle
PHB	ENSP00000300408	intracellular membrane-bounded organelle
SLC25A3	ENSP00000228318	intracellular membrane-bounded organelle
SLC3A1	ENSP00000260649	intracellular membrane-bounded organelle
HADHB	ENSP00000325136	intracellular membrane-bounded organelle
VDAC1	ENSP00000265333	intracellular membrane-bounded organelle
VDAC2	ENSP00000361686	intracellular membrane-bounded organelle
SLC25A5	ENSP00000360671	intracellular membrane-bounded organelle
LGALS3	ENSP00000254301	intracellular membrane-bounded organelle
HSPD1	ENSP00000340019	intracellular membrane-bounded organelle
DDX3X	ENSP00000382840	intracellular membrane-bounded organelle
ASS1	ENSP00000253004	intracellular membrane-bounded organelle
MYOC	ENSP00000037502	intracellular membrane-bounded organelle
ANXA1	ENSP00000257497	intracellular membrane-bounded organelle
CNP	ENSP00000377470	intracellular membrane-bounded organelle
ATCAY	ENSP00000390941	intracellular membrane-bounded organelle
RPS6KB1	ENSP00000225577	intracellular membrane-bounded organelle
MAPK8IP1	ENSP00000241014	intracellular membrane-bounded organelle
BMF	ENSP00000346697	intracellular membrane-bounded organelle
RAB11FIP5	ENSP00000258098	intracellular membrane-bounded organelle
DNM1L	ENSP00000266481	intracellular membrane-bounded organelle
SARM1	ENSP00000368351	intracellular membrane-bounded organelle
MYO19	ENSP00000397134	intracellular membrane-bounded organelle
PPP2R2B	ENSP00000336591	intracellular membrane-bounded organelle
WASF1	ENSP00000352425	intracellular membrane-bounded organelle
RMDN3	ENSP00000260385	intracellular membrane-bounded organelle
CASP8	ENSP00000351273	intracellular membrane-bounded organelle
BNIP3	ENSP00000357625	intracellular membrane-bounded organelle
DMPK	ENSP00000345997	intracellular membrane-bounded organelle
PINK1	ENSP00000364204	intracellular membrane-bounded organelle
MTOR	ENSP00000354558	intracellular membrane-bounded organelle
AADAC	ENSP00000232892	intracellular membrane-bounded organelle
ACER1	ENSP00000301452	intracellular membrane-bounded organelle
VKORC1	ENSP00000378426	intracellular membrane-bounded organelle
VKORC1L1	ENSP00000353998	intracellular membrane-bounded organelle
ALG1	ENSP00000262374	intracellular membrane-bounded organelle
ALG10	ENSP00000266483	intracellular membrane-bounded organelle
ALG12	ENSP00000333813	intracellular membrane-bounded organelle
ALG14	ENSP00000359224	intracellular membrane-bounded organelle
ALG3	ENSP00000380793	intracellular membrane-bounded organelle
ALG5	ENSP00000239891	intracellular membrane-bounded organelle
ALG6	ENSP00000360149	intracellular membrane-bounded organelle
ALG8	ENSP00000299626	intracellular membrane-bounded organelle
ALG9	ENSP00000260257	intracellular membrane-bounded organelle
UGT1A7	ENSP00000362525	intracellular membrane-bounded organelle
UGT1A4	ENSP00000362508	intracellular membrane-bounded organelle
TRIQK	ENSP00000368138	intracellular membrane-bounded organelle
TRAM1	ENSP00000262213	intracellular membrane-bounded organelle
TMTC2	ENSP00000322300	intracellular membrane-bounded organelle
TBXAS1	ENSP00000263552	intracellular membrane-bounded organelle
SSR2	ENSP00000295702	intracellular membrane-bounded organelle
SSR1	ENSP00000244763	intracellular membrane-bounded organelle
SRD5A3	ENSP00000264228	intracellular membrane-bounded organelle
SRD5A2	ENSP00000233139	intracellular membrane-bounded organelle
SRD5A1	ENSP00000274192	intracellular membrane-bounded organelle
SQLE	ENSP00000265896	intracellular membrane-bounded organelle
SOAT1	ENSP00000356591	intracellular membrane-bounded organelle
SLC35D1	ENSP00000235345	intracellular membrane-bounded organelle
SLC16A11	ENSP00000310490	intracellular membrane-bounded organelle
SGPP2	ENSP00000315137	intracellular membrane-bounded organelle
SGPP1	ENSP00000247225	intracellular membrane-bounded organelle
SEC63	ENSP00000357998	intracellular membrane-bounded organelle
SEC22A	ENSP00000310521	intracellular membrane-bounded organelle
SEC11C	ENSP00000299714	intracellular membrane-bounded organelle
SDR16C5	ENSP00000307607	intracellular membrane-bounded organelle
SC5D	ENSP00000264027	intracellular membrane-bounded organelle
RNF133	ENSP00000344489	intracellular membrane-bounded organelle
PTDSS2	ENSP00000308258	intracellular membrane-bounded organelle
PTDSS1	ENSP00000337331	intracellular membrane-bounded organelle
POMK	ENSP00000331258	intracellular membrane-bounded organelle
AGPAT2	ENSP00000360761	intracellular membrane-bounded organelle
PNPLA3	ENSP00000216180	intracellular membrane-bounded organelle
PIGX	ENSP00000317301	intracellular membrane-bounded organelle
PIGW	ENSP00000332313	intracellular membrane-bounded organelle
PIGV	ENSP00000078527	intracellular membrane-bounded organelle
PIGO	ENSP00000339382	intracellular membrane-bounded organelle
PIGN	ENSP00000350263	intracellular membrane-bounded organelle
PIGM	ENSP00000357069	intracellular membrane-bounded organelle
PIGL	ENSP00000225609	intracellular membrane-bounded organelle
PIGG	ENSP00000415203	intracellular membrane-bounded organelle
PIGF	ENSP00000281382	intracellular membrane-bounded organelle
PIGB	ENSP00000164305	intracellular membrane-bounded organelle
PGAP1	ENSP00000346809	intracellular membrane-bounded organelle
ORMDL1	ENSP00000326869	intracellular membrane-bounded organelle
NUS1	ENSP00000357480	intracellular membrane-bounded organelle
NOMO2	ENSP00000370883	intracellular membrane-bounded organelle
AGPAT4	ENSP00000314036	intracellular membrane-bounded organelle
MLEC	ENSP00000228506	intracellular membrane-bounded organelle
MIA3	ENSP00000340900	intracellular membrane-bounded organelle
MBOAT7	ENSP00000245615	intracellular membrane-bounded organelle
MBOAT2	ENSP00000302177	intracellular membrane-bounded organelle
LPGAT1	ENSP00000355963	intracellular membrane-bounded organelle
LPCAT4	ENSP00000317300	intracellular membrane-bounded organelle
LPCAT3	ENSP00000261407+ENSP00000324944	intracellular membrane-bounded organelle
LMF1	ENSP00000262301	intracellular membrane-bounded organelle
LCLAT1	ENSP00000310551	intracellular membrane-bounded organelle
KIAA1715	ENSP00000272748	intracellular membrane-bounded organelle
KDELR3	ENSP00000386918	intracellular membrane-bounded organelle
JAGN1	ENSP00000306106	intracellular membrane-bounded organelle
HSD3B7	ENSP00000297679	intracellular membrane-bounded organelle
HSD17B2	ENSP00000199936	intracellular membrane-bounded organelle
HSD11B1	ENSP00000261465	intracellular membrane-bounded organelle
HERPUD1	ENSP00000300302	intracellular membrane-bounded organelle
GGCX	ENSP00000233838	intracellular membrane-bounded organelle
G6PC3	ENSP00000269097	intracellular membrane-bounded organelle
G6PC2	ENSP00000364512	intracellular membrane-bounded organelle
FMO5	ENSP00000254090	intracellular membrane-bounded organelle
FMO4	ENSP00000356723	intracellular membrane-bounded organelle
FMO3	ENSP00000356729	intracellular membrane-bounded organelle
FMO2	ENSP00000209929	intracellular membrane-bounded organelle
FKBP11	ENSP00000256680	intracellular membrane-bounded organelle
FDFT1	ENSP00000220584	intracellular membrane-bounded organelle
EPT1	ENSP00000260585	intracellular membrane-bounded organelle
ELOVL7	ENSP00000296596	intracellular membrane-bounded organelle
ELOVL5	ENSP00000306640	intracellular membrane-bounded organelle
ELOVL3	ENSP00000359022	intracellular membrane-bounded organelle
ELOVL2	ENSP00000346693	intracellular membrane-bounded organelle
EIF2AK3	ENSP00000307235	intracellular membrane-bounded organelle
DUOXA2	ENSP00000319705	intracellular membrane-bounded organelle
DGAT2L6	ENSP00000328036	intracellular membrane-bounded organelle
DGAT1	ENSP00000332258	intracellular membrane-bounded organelle
DEGS2	ENSP00000307126	intracellular membrane-bounded organelle
CYP8B1	ENSP00000318867	intracellular membrane-bounded organelle
CYP51A1	ENSP00000003100	intracellular membrane-bounded organelle
CYP4F8	ENSP00000409702	intracellular membrane-bounded organelle
CYP4F3	ENSP00000221307	intracellular membrane-bounded organelle
CYP4F11	ENSP00000248041	intracellular membrane-bounded organelle
CYP46A1	ENSP00000261835	intracellular membrane-bounded organelle
CYP3A4	ENSP00000337915	intracellular membrane-bounded organelle
CYP2U1	ENSP00000333212	intracellular membrane-bounded organelle
CYP26C1	ENSP00000285949	intracellular membrane-bounded organelle
AGPAT6	ENSP00000380184	intracellular membrane-bounded organelle
AGPAT9	ENSP00000264409	intracellular membrane-bounded organelle
CDS1	ENSP00000295887	intracellular membrane-bounded organelle
AGPAT1	ENSP00000395863+ENSP00000401287	intracellular membrane-bounded organelle
CERS1	ENSP00000402697	intracellular membrane-bounded organelle
VAPB	ENSP00000417175	intracellular membrane-bounded organelle
USP19	ENSP00000381863	intracellular membrane-bounded organelle
RDH10	ENSP00000240285	intracellular membrane-bounded organelle
FADS1	ENSP00000322229	intracellular membrane-bounded organelle
PEMT	ENSP00000255389	intracellular membrane-bounded organelle
HSD17B12	ENSP00000278353	intracellular membrane-bounded organelle
ALG2	ENSP00000417764	intracellular membrane-bounded organelle
ATF6B	ENSP00000364349+ENSP00000404725	intracellular membrane-bounded organelle
CEPT1	ENSP00000317400	intracellular membrane-bounded organelle
CERS3	ENSP00000284382	intracellular membrane-bounded organelle
CERS4	ENSP00000251363	intracellular membrane-bounded organelle
CERS5	ENSP00000325485	intracellular membrane-bounded organelle
CERS6	ENSP00000306579	intracellular membrane-bounded organelle
MYRF	ENSP00000278836	intracellular membrane-bounded organelle
SYVN1	ENSP00000366395	intracellular membrane-bounded organelle
REEP6	ENSP00000233596	intracellular membrane-bounded organelle
TRIM13	ENSP00000298772	intracellular membrane-bounded organelle
SOAT2	ENSP00000301466	intracellular membrane-bounded organelle
RDH11	ENSP00000370750	intracellular membrane-bounded organelle
ANO5	ENSP00000315371	intracellular membrane-bounded organelle
DUOXA1	ENSP00000267803	intracellular membrane-bounded organelle
HSD17B7	ENSP00000254521	intracellular membrane-bounded organelle
MSMO1	ENSP00000261507	intracellular membrane-bounded organelle
RHBDF2	ENSP00000322775	intracellular membrane-bounded organelle
SELK	ENSP00000418813	intracellular membrane-bounded organelle
SLC28A3	ENSP00000365413	intracellular membrane-bounded organelle
SLC35G1	ENSP00000400932	intracellular membrane-bounded organelle
ANTXR2	ENSP00000306185	intracellular membrane-bounded organelle
CDIPT	ENSP00000219789	intracellular membrane-bounded organelle
ALG13	ENSP00000361047	intracellular membrane-bounded organelle
RINT1	ENSP00000257700	intracellular membrane-bounded organelle
TTC9B	ENSP00000311760	intracellular membrane-bounded organelle
PCYT2	ENSP00000331719	intracellular membrane-bounded organelle
PCYT1B	ENSP00000368439	intracellular membrane-bounded organelle
HSD17B3	ENSP00000364412	intracellular membrane-bounded organelle
FKBPL	ENSP00000397530	intracellular membrane-bounded organelle
FKBP9	ENSP00000242209	intracellular membrane-bounded organelle
FKBP7	ENSP00000413152	intracellular membrane-bounded organelle
FKBP10	ENSP00000317232	intracellular membrane-bounded organelle
DHDDS	ENSP00000353104	intracellular membrane-bounded organelle
CYP7B1	ENSP00000310721	intracellular membrane-bounded organelle
CYP7A1	ENSP00000301645	intracellular membrane-bounded organelle
CYP4B1	ENSP00000360991	intracellular membrane-bounded organelle
CYP3A7	ENSP00000337450	intracellular membrane-bounded organelle
CYP3A5	ENSP00000222982	intracellular membrane-bounded organelle
CYP3A43	ENSP00000222382	intracellular membrane-bounded organelle
CYP39A1	ENSP00000275016	intracellular membrane-bounded organelle
CYP2W1	ENSP00000310149	intracellular membrane-bounded organelle
CYP2S1	ENSP00000308032	intracellular membrane-bounded organelle
CYP2R1	ENSP00000334592	intracellular membrane-bounded organelle
CYP2J2	ENSP00000360247	intracellular membrane-bounded organelle
CYP2F1	ENSP00000333534	intracellular membrane-bounded organelle
CYP2C9	ENSP00000260682	intracellular membrane-bounded organelle
CYP2C8	ENSP00000360317	intracellular membrane-bounded organelle
CYP2C19	ENSP00000360372	intracellular membrane-bounded organelle
CYP2C18	ENSP00000285979	intracellular membrane-bounded organelle
CYP2B6	ENSP00000324648	intracellular membrane-bounded organelle
CYP2A13	ENSP00000332679	intracellular membrane-bounded organelle
CYP26B1	ENSP00000001146	intracellular membrane-bounded organelle
