GeneSym	EnsembleID	GO_anno
PTPRJ	ENSP00000400010	immunological synapse
ITGAL	ENSP00000349252	immunological synapse
CD81	ENSP00000263645	immunological synapse
ICAM1	ENSP00000264832	immunological synapse
ARHGDIA	ENSP00000269321	immunological synapse
DUSP3	ENSP00000226004	immunological synapse
CORO1A	ENSP00000219150	immunological synapse
LCK	ENSP00000337825	immunological synapse
PDCD6IP	ENSP00000307387	immunological synapse
DLG1	ENSP00000345731	immunological synapse
MYH9	ENSP00000216181	immunological synapse
GZMA	ENSP00000274306	immunological synapse
GZMB	ENSP00000216341	immunological synapse
CARD11	ENSP00000380150	immunological synapse
PRKCQ	ENSP00000263125	immunological synapse
RHOH	ENSP00000371219	immunological synapse
SOCS6	ENSP00000306939	immunological synapse
LGALS3	ENSP00000254301	immunological synapse
SNX27	ENSP00000357836	immunological synapse
RLTPR	ENSP00000334958	immunological synapse
BCL10	ENSP00000271015	immunological synapse
CD28	ENSP00000324890	immunological synapse
CD3E	ENSP00000354566	immunological synapse
SCIMP	ENSP00000382509	immunological synapse
ZAP70	ENSP00000264972	immunological synapse
LAT	ENSP00000354119	immunological synapse
MALT1	ENSP00000319279	cbm complex
CARD10	ENSP00000251973	cbm complex
BCL10	ENSP00000271015	cbm complex
ABCB1	ENSP00000265724	extracellular region part
PKD1L3	ENSP00000335272	extracellular region part
CD101	ENSP00000256652	extracellular region part
CRIM1	ENSP00000280527	extracellular region part
UPK3B	ENSP00000257632	extracellular region part
ENPP4	ENSP00000318066	extracellular region part
FCRL4	ENSP00000271532	extracellular region part
TM7SF3	ENSP00000342322	extracellular region part
SUCNR1	ENSP00000355156	extracellular region part
SUSD2	ENSP00000351075	extracellular region part
THSD7A	ENSP00000406482	extracellular region part
SLCO4C1	ENSP00000309741	extracellular region part
SLC5A9	ENSP00000236495	extracellular region part
SLC5A8	ENSP00000299233	extracellular region part
SLC5A2	ENSP00000327943	extracellular region part
SLC5A12	ENSP00000379326	extracellular region part
SLC5A10	ENSP00000379008	extracellular region part
SLC44A4	ENSP00000393939+ENSP00000399161	extracellular region part
SLC38A1	ENSP00000381634	extracellular region part
SLC2A3	ENSP00000075120	extracellular region part
SLC13A3	ENSP00000279027	extracellular region part
SLC12A9	ENSP00000275730	extracellular region part
SLAMF6	ENSP00000357038	extracellular region part
SIRPA	ENSP00000348307	extracellular region part
SEMA5A	ENSP00000371936	extracellular region part
CD300A	ENSP00000353259	extracellular region part
CD300E	ENSP00000329942	extracellular region part
PLSCR4	ENSP00000347038	extracellular region part
PILRA	ENSP00000198536	extracellular region part
PIK3IP1	ENSP00000215912	extracellular region part
PCDHGC3	ENSP00000312070	extracellular region part
PCDHGA10	ENSP00000252087	extracellular region part
CD7	ENSP00000312027	extracellular region part
OSCAR	ENSP00000352671	extracellular region part
OR11L1	ENSP00000348033	extracellular region part
MRGPRF	ENSP00000309782	extracellular region part
FCGR2A	ENSP00000271450	extracellular region part
LILRB4	ENSP00000270452	extracellular region part
LAIR1	ENSP00000375622	extracellular region part
CDH6	ENSP00000265071	extracellular region part
DUOX2	ENSP00000267837	extracellular region part
IGSF8	ENSP00000316664	extracellular region part
CDHR5	ENSP00000351118	extracellular region part
IGSF11	ENSP00000377370	extracellular region part
ICOSLG	ENSP00000384432	extracellular region part
FAT4	ENSP00000377862	extracellular region part
CDHR2	ENSP00000261944	extracellular region part
PVRL4	ENSP00000356991	extracellular region part
PRSS8	ENSP00000319730	extracellular region part
PDCD1LG2	ENSP00000380855	extracellular region part
CD37	ENSP00000325708	extracellular region part
BST1	ENSP00000265016	extracellular region part
GFRA1	ENSP00000393725	extracellular region part
CD177	ENSP00000388794	extracellular region part
CNTN1	ENSP00000325660	extracellular region part
ENPP6	ENSP00000296741	extracellular region part
FCGR3B	ENSP00000294800	extracellular region part
LYPD2	ENSP00000352163	extracellular region part
NEGR1	ENSP00000350364	extracellular region part
PSCA	ENSP00000301258	extracellular region part
XPNPEP2	ENSP00000360147	extracellular region part
VNN1	ENSP00000356905	extracellular region part
CPM	ENSP00000339157	extracellular region part
GFRA4	ENSP00000313423	extracellular region part
LYNX1	ENSP00000337950	extracellular region part
TECTA	ENSP00000264037	extracellular region part
ALPL	ENSP00000363965	extracellular region part
TSPAN15	ENSP00000362387	extracellular region part
CRB2	ENSP00000362734	extracellular region part
ABCB11	ENSP00000263817	extracellular region part
ABCB4	ENSP00000265723	extracellular region part
PCDH12	ENSP00000231484	extracellular region part
ABCC1	ENSP00000382342	extracellular region part
ATP2B1	ENSP00000261173	extracellular region part
CEACAM1	ENSP00000161559	extracellular region part
TRHDE	ENSP00000261180	extracellular region part
TRPV6	ENSP00000352358	extracellular region part
CLCA4	ENSP00000359594	extracellular region part
EPHA10	ENSP00000316395	extracellular region part
EPHB4	ENSP00000350896	extracellular region part
BTN2A1	ENSP00000312158	extracellular region part
TMPRSS2	ENSP00000330330	extracellular region part
TMPRSS11D	ENSP00000283916	extracellular region part
TMPRSS11B	ENSP00000330475	extracellular region part
SLC6A13	ENSP00000339260	extracellular region part
SLC26A2	ENSP00000286298	extracellular region part
ABCC11	ENSP00000349017	extracellular region part
SLC20A2	ENSP00000340465	extracellular region part
SLC1A1	ENSP00000262352	extracellular region part
SLC15A2	ENSP00000417085	extracellular region part
SLC13A2	ENSP00000316202	extracellular region part
SIT1	ENSP00000259608	extracellular region part
SIRPB1	ENSP00000279477	extracellular region part
PTPRS	ENSP00000349932	extracellular region part
PTPRF	ENSP00000353030	extracellular region part
PTPRD	ENSP00000348812	extracellular region part
PPAP2A	ENSP00000264775	extracellular region part
GP5	ENSP00000319286	extracellular region part
CD47	ENSP00000355361	extracellular region part
GPA33	ENSP00000356842	extracellular region part
PCDH11X	ENSP00000362186	extracellular region part
CD82	ENSP00000227155	extracellular region part
NPR3	ENSP00000398028	extracellular region part
CD84	ENSP00000357033	extracellular region part
LYVE1	ENSP00000256178	extracellular region part
LY75	ENSP00000263636	extracellular region part
LRRN4	ENSP00000368135	extracellular region part
LIFR	ENSP00000263409	extracellular region part
ICAM3	ENSP00000160262	extracellular region part
CD70	ENSP00000245903	extracellular region part
PTPRG	ENSP00000418112	extracellular region part
TNFSF10	ENSP00000241261	extracellular region part
KL	ENSP00000369442	extracellular region part
CEACAM8	ENSP00000244336	extracellular region part
ART3	ENSP00000348064	extracellular region part
OPCML	ENSP00000330862	extracellular region part
NTM	ENSP00000416320	extracellular region part
EFNA1	ENSP00000357392	extracellular region part
ACVR1B	ENSP00000257963	extracellular region part
CR1	ENSP00000356016	extracellular region part
AXL	ENSP00000301178	extracellular region part
PLXNB2	ENSP00000352288	extracellular region part
GP6	ENSP00000308782	extracellular region part
CD58	ENSP00000358501	extracellular region part
MFI2	ENSP00000296350	extracellular region part
ICAM2	ENSP00000225760	extracellular region part
ALK	ENSP00000373700	extracellular region part
DDR1	ENSP00000390877	extracellular region part
PIGR	ENSP00000348888	extracellular region part
PLA2R1	ENSP00000283243	extracellular region part
PTPRA	ENSP00000369756	extracellular region part
IL10RB	ENSP00000290200	extracellular region part
MEP1A	ENSP00000230588	extracellular region part
AQP7	ENSP00000297988	extracellular region part
ATRN	ENSP00000262919	extracellular region part
BPI	ENSP00000262865	extracellular region part
FOLH1	ENSP00000256999	extracellular region part
ENPP3	ENSP00000350265	extracellular region part
SLC7A8	ENSP00000320378	extracellular region part
BCAM	ENSP00000270233	extracellular region part
