GeneSym	EnsembleID	Tissue
CEP120	ENSG00000168944	duodenum
INPP1	ENSG00000151689	duodenum
BAZ2A	ENSG00000076108	duodenum
PRR9	ENSG00000203783	duodenum
OR1Q1	ENSG00000165202	duodenum
CCNJ	ENSG00000107443	duodenum
S100A14	ENSG00000189334	duodenum
KLF4	ENSG00000136826	duodenum
MIPEP	ENSG00000027001	duodenum
JAKMIP3	ENSG00000188385	duodenum
RALY	ENSG00000125970	duodenum
CD3EAP	ENSG00000117877	duodenum
ZBED4	ENSG00000100426	duodenum
ZNF583	ENSG00000198440	duodenum
PRDM14	ENSG00000147596	duodenum
TEAD4	ENSG00000197905	duodenum
MAP4K5	ENSG00000012983	duodenum
PRSS35	ENSG00000146250	duodenum
LYNX1	ENSG00000180155	duodenum
TRAF7	ENSG00000131653	duodenum
RAD23A	ENSG00000179262	duodenum
FAM9B	ENSG00000177138	duodenum
CFDP1	ENSG00000153774	duodenum
GAL3ST4	ENSG00000197093	duodenum
MAML2	ENSG00000184384	duodenum
ZNF766	ENSG00000196214	duodenum
FAM83B	ENSG00000168143	duodenum
PLCG1	ENSG00000124181	duodenum
PRPF40A	ENSG00000196504	duodenum
PSKH1	ENSG00000159792	duodenum
MYEOV2	ENSG00000172428	duodenum
GRM5	ENSG00000168959	duodenum
ZNF227	ENSG00000131115	duodenum
PHF1	ENSG00000112511	duodenum
PUF60	ENSG00000179950	duodenum
CNTLN	ENSG00000044459	duodenum
SLC20A1	ENSG00000144136	duodenum
HINT2	ENSG00000137133	duodenum
PDCL2	ENSG00000163440	duodenum
PDE11A	ENSG00000128655	duodenum
HTR1F	ENSG00000179097	duodenum
SSTR2	ENSG00000180616	duodenum
MYOM3	ENSG00000142661	duodenum
OAT	ENSG00000065154	duodenum
STRIP2	ENSG00000128578	duodenum
ABCG4	ENSG00000172350	duodenum
LEPREL1	ENSG00000090530	duodenum
TRIM67	ENSG00000119283	duodenum
YAE1D1	ENSG00000241127	duodenum
L3MBTL3	ENSG00000198945	duodenum
KLF16	ENSG00000129911	duodenum
NDUFA7	ENSG00000267855	duodenum
PNISR	ENSG00000132424	duodenum
CSNK1G1	ENSG00000169118	duodenum
SEL1L3	ENSG00000091490	duodenum
TRAM1	ENSG00000067167	duodenum
PSKH2	ENSG00000147613	duodenum
PNMA6A	ENSG00000235961	duodenum
KLHL35	ENSG00000149243	duodenum
SDR9C7	ENSG00000170426	duodenum
CALCRL	ENSG00000064989	duodenum
DMRTA2	ENSG00000142700	duodenum
COL18A1	ENSG00000182871	duodenum
LARP4	ENSG00000161813	duodenum
SPAG9	ENSG00000008294	duodenum
DEPDC1	ENSG00000024526	duodenum
IGSF1	ENSG00000147255	duodenum
FAM222A	ENSG00000139438	duodenum
ZNF638	ENSG00000075292	duodenum
NQO1	ENSG00000181019	duodenum
NDEL1	ENSG00000166579	duodenum
HNRNPUL2	ENSG00000214753	duodenum
PES1	ENSG00000100029	duodenum
PKMYT1	ENSG00000127564	duodenum
ARHGAP11A	ENSG00000198826	duodenum
CEP170B	ENSG00000099814	duodenum
CGREF1	ENSG00000138028	duodenum
ZNF333	ENSG00000160961	duodenum
CHEK2	ENSG00000183765	duodenum
COMMD10	ENSG00000145781	duodenum
C2CD2L	ENSG00000172375	duodenum
ZNF546	ENSG00000187187	duodenum
AGBL1	ENSG00000166748	duodenum
LRRC46	ENSG00000141294	duodenum
NLE1	ENSG00000073536	duodenum
HSD17B12	ENSG00000149084	duodenum
CKMT1A	ENSG00000223572	duodenum
CKMT1B	ENSG00000237289	duodenum
COLGALT2	ENSG00000198756	duodenum
NDUFB9	ENSG00000147684	duodenum
BUD31	ENSG00000106245	duodenum
PLD6	ENSG00000179598	duodenum
FAM206A	ENSG00000119328	duodenum
GRAMD2	ENSG00000175318	duodenum
INPPL1	ENSG00000165458	duodenum
CABP1	ENSG00000157782	duodenum
IP6K2	ENSG00000068745	duodenum
SREBF2	ENSG00000198911	duodenum
BRIX1	ENSG00000113460	duodenum
TFRC	ENSG00000072274	duodenum
PTGES2	ENSG00000148334	duodenum
RBM39	ENSG00000131051	duodenum
ODF3L2	ENSG00000181781	duodenum
ASTL	ENSG00000188886	duodenum
PLSCR5	ENSG00000231213	duodenum
HNMT	ENSG00000150540	duodenum
MAML3	ENSG00000196782	duodenum
ISG20L2	ENSG00000143319	duodenum
LRRFIP2	ENSG00000093167	duodenum
PPAN	ENSG00000130810	duodenum
KLC3	ENSG00000104892	duodenum
EPHA7	ENSG00000135333	duodenum
SNX1	ENSG00000028528	duodenum
PRODH2	ENSG00000250799	duodenum
THADA	ENSG00000115970	duodenum
PPIH	ENSG00000171960	duodenum
RPL13A	ENSG00000142541	duodenum
INTS4	ENSG00000149262	duodenum
PTGS1	ENSG00000095303	duodenum
GTF3C6	ENSG00000155115	duodenum
WDHD1	ENSG00000198554	duodenum
HDLBP	ENSG00000115677	duodenum
ATP8B3	ENSG00000130270	duodenum
CDK6	ENSG00000105810	duodenum
ZCCHC18	ENSG00000166707	duodenum
ZNF444	ENSG00000167685	duodenum
BIRC5	ENSG00000089685	duodenum
ITGAD	ENSG00000156886	duodenum
SPINK7	ENSG00000145879	duodenum
TFCP2L1	ENSG00000115112	duodenum
FA2H	ENSG00000103089	duodenum
BST1	ENSG00000109743	duodenum
TMEM180	ENSG00000138111	duodenum
C10ORF126	ENSG00000204365	duodenum
TTYH1	ENSG00000167614	duodenum
TRIM37	ENSG00000108395	duodenum
SDC1	ENSG00000115884	duodenum
PPP1R36	ENSG00000165807	duodenum
TRIM24	ENSG00000122779	duodenum
DCANP1	ENSG00000251380	duodenum
PTPLA	ENSG00000165996	duodenum
TLE3	ENSG00000140332	duodenum
ZNF142	ENSG00000115568	duodenum
EZH2	ENSG00000106462	duodenum
ANLN	ENSG00000011426	duodenum
CBX2	ENSG00000173894	duodenum
NUDT13	ENSG00000166321	duodenum
TMEM30B	ENSG00000182107	duodenum
MCM7	ENSG00000166508	duodenum
INCENP	ENSG00000149503	duodenum
IL18	ENSG00000150782	duodenum
CDC20	ENSG00000117399	duodenum
HELLS	ENSG00000119969	duodenum
RACGAP1	ENSG00000161800	duodenum
MCM2	ENSG00000073111	duodenum
CDK2	ENSG00000123374	duodenum
LRFN1	ENSG00000128011	duodenum
POPDC3	ENSG00000132429	duodenum
CMTR2	ENSG00000180917	duodenum
OR4M1	ENSG00000176299	duodenum
FANCD2	ENSG00000144554	duodenum
UPP1	ENSG00000183696	duodenum
BCL2L14	ENSG00000121380	duodenum
ODF3	ENSG00000177947	duodenum
OR52D1	ENSG00000181609	duodenum
IL37	ENSG00000125571	duodenum
C17ORF67	ENSG00000214226	duodenum
C16ORF95	ENSG00000260456	duodenum
APOB	ENSG00000084674	duodenum
ENPP7	ENSG00000182156	duodenum
RNF212	ENSG00000178222	duodenum
C8ORF31	ENSG00000177335	duodenum
RC3H2	ENSG00000056586	duodenum
TNFRSF10A	ENSG00000104689	duodenum
ASB12	ENSG00000198881	duodenum
MTMR8	ENSG00000102043	duodenum
C19ORF25	ENSG00000119559	duodenum
S100A16	ENSG00000188643	duodenum
NDUFAF1	ENSG00000137806	duodenum
HAO1	ENSG00000101323	duodenum
ANKRD22	ENSG00000152766	duodenum
PLEKHM2	ENSG00000116786	duodenum
OR52E2	ENSG00000176787	duodenum
REEP4	ENSG00000168476	duodenum
ZBTB7B	ENSG00000160685	duodenum
SAMD13	ENSG00000203943	duodenum
LIPE	ENSG00000079435	duodenum
MIEF1	ENSG00000100335	duodenum
BAP1	ENSG00000163930	duodenum
DOCK11	ENSG00000147251	duodenum
TMEM151B	ENSG00000178233	duodenum
PLD1	ENSG00000075651	duodenum
DEFB108B	ENSG00000184276	duodenum
SLC16A9	ENSG00000165449	duodenum
FAM83G	ENSG00000188522	duodenum
COL28A1	ENSG00000215018	duodenum
CCND2	ENSG00000118971	duodenum
ZKSCAN2	ENSG00000155592	duodenum
PRUNE	ENSG00000143363	duodenum
PSMA7	ENSG00000101182	duodenum
GPT	ENSG00000167701	duodenum
TTC39B	ENSG00000155158	duodenum
CRK	ENSG00000167193	duodenum
C19ORF57	ENSG00000132016	duodenum
QPCTL	ENSG00000011478	duodenum
OR7A5	ENSG00000188269	duodenum
SLC28A2	ENSG00000137860	duodenum
CALML4	ENSG00000129007	duodenum
WNT3A	ENSG00000154342	duodenum
BBS12	ENSG00000181004	duodenum
ZNF793	ENSG00000188227	duodenum
FBLIM1	ENSG00000162458	duodenum
CNGB1	ENSG00000070729	duodenum
RADIL	ENSG00000157927	duodenum
FAM159B	ENSG00000145642	duodenum
ARHGEF40	ENSG00000165801	duodenum
CYB5A	ENSG00000166347	duodenum
TXNDC11	ENSG00000153066	duodenum
EDN2	ENSG00000127129	duodenum
KIAA0556	ENSG00000047578	duodenum
NME4	ENSG00000103202	duodenum
TM4SF4	ENSG00000169903	duodenum
CYP2C9	ENSG00000138109	duodenum
DLL4	ENSG00000128917	duodenum
ANPEP	ENSG00000166825	duodenum
ZDHHC1	ENSG00000159714	duodenum
CYP2C19	ENSG00000165841	duodenum
WSB1	ENSG00000109046	duodenum
PITHD1	ENSG00000057757	duodenum
ACTBL2	ENSG00000169067	duodenum
ACTG1	ENSG00000184009	duodenum
MCUR1	ENSG00000050393	duodenum
ZNF846	ENSG00000196605	duodenum
COX16	ENSG00000133983	duodenum
ACTR3C	ENSG00000106526	duodenum
FAM212A	ENSG00000185614	duodenum
C6ORF118	ENSG00000112539	duodenum
MME	ENSG00000196549	duodenum
ZNF648	ENSG00000179930	duodenum
HBEGF	ENSG00000113070	duodenum
LEPROTL1	ENSG00000104660	duodenum
C9ORF57	ENSG00000204669	duodenum
SPAM1	ENSG00000106304	duodenum
PCSK2	ENSG00000125851	duodenum
MTFR1	ENSG00000066855	duodenum
COCH	ENSG00000100473	duodenum
ATP12A	ENSG00000075673	duodenum
NPTN	ENSG00000156642	duodenum
GRM3	ENSG00000198822	duodenum
TMEM253	ENSG00000232070	duodenum
SLC38A9	ENSG00000177058	duodenum
SGCD	ENSG00000170624	duodenum
MCMDC2	ENSG00000178460	duodenum
COL27A1	ENSG00000196739	duodenum
BRI3	ENSG00000164713	duodenum
ZNF281	ENSG00000162702	duodenum
ALDOB	ENSG00000136872	duodenum
GNG13	ENSG00000127588	duodenum
SLCO1A2	ENSG00000084453	duodenum
ITLN1	ENSG00000179914	duodenum
FATE1	ENSG00000147378	duodenum
ZNF571	ENSG00000180479	duodenum
GUCA2A	ENSG00000197273	duodenum
SLC25A52	ENSG00000141437	duodenum
SLC25A51	ENSG00000122696	duodenum
DEFA5	ENSG00000164816	duodenum
GUCD1	ENSG00000138867	duodenum
FTSJ2	ENSG00000122687	duodenum
VGLL1	ENSG00000102243	duodenum
TAGLN3	ENSG00000144834	duodenum
DAB1	ENSG00000173406	duodenum
DAK	ENSG00000149476	duodenum
MT1E	ENSG00000169715	duodenum
DDX31	ENSG00000125485	duodenum
TEX11	ENSG00000120498	duodenum
CD40LG	ENSG00000102245	duodenum
ZNF334	ENSG00000198185	duodenum
REG1B	ENSG00000172023	duodenum
REG1A	ENSG00000115386	duodenum
ZNF511	ENSG00000198546	duodenum
XPNPEP2	ENSG00000122121	duodenum
LINC01118	ENSG00000222005	duodenum
CLEC17A	ENSG00000187912	duodenum
EXT2	ENSG00000151348	duodenum
C8ORF88	ENSG00000253250	duodenum
TREH	ENSG00000118094	duodenum
DPEP1	ENSG00000015413	duodenum
OR52N1	ENSG00000181001	duodenum
DAZ4	ENSG00000187191+ENSG00000188120+ENSG00000205916	duodenum
DAZ3	ENSG00000205944	duodenum
PDCD2L	ENSG00000126249	duodenum
ZNF43	ENSG00000198521	duodenum
APOA4	ENSG00000110244	duodenum
ZNF319	ENSG00000166188	duodenum
HRH2	ENSG00000113749	duodenum
OTC	ENSG00000036473	duodenum
CYP3A4	ENSG00000160868	duodenum
ISCA1	ENSG00000135070	duodenum
SLC7A9	ENSG00000021488	duodenum
TMEM91	ENSG00000142046	duodenum
S1PR2	ENSG00000267534	duodenum
TMEM185B	ENSG00000226479	duodenum
PRAP1	ENSG00000165828	duodenum
GPR12	ENSG00000132975	duodenum
REG3G	ENSG00000143954	duodenum
REG3A	ENSG00000172016	duodenum
DEFA6	ENSG00000164822	duodenum
GOLGA8S	ENSG00000261739	duodenum
GOLGA8K	ENSG00000249931	duodenum
S100G	ENSG00000169906	duodenum
DEFB135	ENSG00000205883	duodenum
SCT	ENSG00000070031	duodenum
SLC4A7	ENSG00000033867	duodenum
SI	ENSG00000090402	duodenum
NLRP6	ENSG00000174885	duodenum
RBP2	ENSG00000114113	duodenum
RSPO4	ENSG00000101282	duodenum
MEP1B	ENSG00000141434	duodenum
FABP2	ENSG00000145384	duodenum
ALPI	ENSG00000163295	duodenum
ABHD12	ENSG00000100997	duodenum
MED9	ENSG00000141026	duodenum
PRPF38A	ENSG00000134748	duodenum
JADE2	ENSG00000043143	duodenum
IGFBPL1	ENSG00000137142	duodenum
CDK13	ENSG00000065883	duodenum
RAD51AP1	ENSG00000111247	duodenum
CDKN2B	ENSG00000147883	duodenum
SEC22C	ENSG00000093183	duodenum
FAM156A	ENSG00000179304	duodenum
UNC5C	ENSG00000182168	duodenum
BAI1	ENSG00000181790	duodenum
ITFG1	ENSG00000129636	duodenum
RPS24	ENSG00000138326	duodenum
MGLL	ENSG00000074416	duodenum
SYCE1	ENSG00000171772	duodenum
UGT3A1	ENSG00000145626	duodenum
UGT3A2	ENSG00000168671	duodenum
PPP1R3G	ENSG00000219607	duodenum
OR2AT4	ENSG00000171561	duodenum
FAM150B	ENSG00000189292	duodenum
FBXO47	ENSG00000204952	duodenum
ITLN2	ENSG00000158764	duodenum
KCNC3	ENSG00000131398	duodenum
KIAA1161	ENSG00000164976	duodenum
ERGIC2	ENSG00000087502	duodenum
LOC401040	ENSG00000196758	duodenum
MDGA2	ENSG00000139915	duodenum
GABRA3	ENSG00000011677	duodenum
OSBPL7	ENSG00000006025	duodenum
C12ORF29	ENSG00000133641	duodenum
PLSCR2	ENSG00000163746	duodenum
HSPA12B	ENSG00000132622	duodenum
MPPED2	ENSG00000066382	duodenum
C15ORF57	ENSG00000128891	duodenum
HELZ2	ENSG00000130589	duodenum
ZNF214	ENSG00000149050	duodenum
TMEM133	ENSG00000170647	duodenum
FBXW2	ENSG00000119402	duodenum
ERBB2IP	ENSG00000112851	duodenum
CCDC107	ENSG00000159884	duodenum
CPTP	ENSG00000224051	duodenum
HHIPL2	ENSG00000143512	duodenum
SLC28A1	ENSG00000156222	duodenum
KRIT1	ENSG00000001631	duodenum
MED11	ENSG00000161920	duodenum
NPAP1	ENSG00000185823	duodenum
C21ORF119	ENSG00000256073	duodenum
TMEM92	ENSG00000167105	duodenum
ZNF789	ENSG00000198556	duodenum
RSPH6A	ENSG00000104941	duodenum
ACE2	ENSG00000130234	duodenum
DLC1	ENSG00000164741	duodenum
GAGE10	ENSG00000215274	duodenum
GAGE12C	ENSG00000237671	duodenum
GAGE12H	ENSG00000224902	duodenum
GAGE7	ENSG00000236362	duodenum
GAGE12I	ENSG00000216649	duodenum
GAGE2E	ENSG00000189064	duodenum
GAGE12G	ENSG00000205777+ENSG00000215269	duodenum
GAGE13	ENSG00000224659	duodenum
GAGE12B	ENSG00000227488	duodenum
TCP11	ENSG00000124678	duodenum
TCP11X2	ENSG00000215029	duodenum
C18ORF8	ENSG00000141452	duodenum
ENPP6	ENSG00000164303	duodenum
PBX4	ENSG00000105717	duodenum
VNN2	ENSG00000112303	duodenum
TENM2	ENSG00000145934	duodenum
FBXW4	ENSG00000107829	duodenum
ZFAND4	ENSG00000172671	duodenum
SLC2A5	ENSG00000142583	duodenum
HTR3E	ENSG00000186038	duodenum
TMEM203	ENSG00000187713	duodenum
PSD	ENSG00000059915	duodenum
LIPA	ENSG00000107798	duodenum
LBR	ENSG00000143815	duodenum
NFATC3	ENSG00000072736	duodenum
BTNL8	ENSG00000113303	duodenum
PANX1	ENSG00000110218	duodenum
ATG2B	ENSG00000066739	duodenum
LDLR	ENSG00000130164	duodenum
RASA4	ENSG00000105808	duodenum
RASA4B	ENSG00000170667	duodenum
ESPN	ENSG00000187017	duodenum
RASL10A	ENSG00000100276	duodenum
TRPC5	ENSG00000072315	duodenum
ACSL5	ENSG00000197142	duodenum
EPHA8	ENSG00000070886	duodenum
LRRC42	ENSG00000116212	duodenum
CAPN7	ENSG00000131375	duodenum
MS4A18	ENSG00000214782	duodenum
SLC44A2	ENSG00000129353	duodenum
HMHB1	ENSG00000158497	duodenum
ZNF395	ENSG00000186918	duodenum
METTL7B	ENSG00000170439	duodenum
TMEM37	ENSG00000171227	duodenum
SLC22A12	ENSG00000197891	duodenum
CEP152	ENSG00000103995	duodenum
OLFM1	ENSG00000130558	duodenum
MYO7B	ENSG00000169994	duodenum
KLHL30	ENSG00000168427	duodenum
SLC5A1	ENSG00000100170	duodenum
TMCO4	ENSG00000162542	duodenum
ZNF671	ENSG00000083814	duodenum
PIGM	ENSG00000143315	duodenum
SLC2A11	ENSG00000133460	duodenum
SLC3A1	ENSG00000138079	duodenum
C17ORF89	ENSG00000224877	duodenum
PCK1	ENSG00000124253	duodenum
SYT11	ENSG00000132718	duodenum
CLEC2A	ENSG00000188393	duodenum
FBXO10	ENSG00000147912	duodenum
LAMC3	ENSG00000050555	duodenum
SLC13A2	ENSG00000007216	duodenum
CAPZA3	ENSG00000177938	duodenum
PPP1R1C	ENSG00000150722	duodenum
SLC2A2	ENSG00000163581	duodenum
FABP1	ENSG00000163586	duodenum
ZNF771	ENSG00000179965	duodenum
CCBE1	ENSG00000183287	duodenum
FBXL7	ENSG00000183580	duodenum
NEU2	ENSG00000115488	duodenum
ZNF816-ZNF321P	ENSG00000221874	duodenum
ACMSD	ENSG00000153086	duodenum
CDH8	ENSG00000150394	duodenum
ACSM2A	ENSG00000183747	duodenum
ACSM2B	ENSG00000066813	duodenum
CASK	ENSG00000147044	duodenum
ABCC1	ENSG00000103222	duodenum
ZG16	ENSG00000174992	duodenum
TMEM154	ENSG00000170006	duodenum
RRM2	ENSG00000171848	duodenum
SLC9C1	ENSG00000172139	duodenum
NEK10	ENSG00000163491	duodenum
KLHL21	ENSG00000162413	duodenum
OR51D1	ENSG00000197428	duodenum
TSKS	ENSG00000126467	duodenum
OR6C6	ENSG00000188324	duodenum
C17ORF74	ENSG00000184560	duodenum
CEP68	ENSG00000011523	duodenum
MYO3A	ENSG00000095777	duodenum
PECR	ENSG00000115425	duodenum
IYD	ENSG00000009765	duodenum
C15ORF38-AP3S2	ENSG00000250021	duodenum
FAM131C	ENSG00000185519	duodenum
PIGZ	ENSG00000119227	duodenum
VIL1	ENSG00000127831	duodenum
SLC6A19	ENSG00000174358	duodenum
CDHR5	ENSG00000099834	duodenum
SULT1B1	ENSG00000173597	duodenum
DCAKD	ENSG00000172992	duodenum
MISP	ENSG00000099812	duodenum
SEC14L3	ENSG00000100012	duodenum
ITPRIPL2	ENSG00000205730	duodenum
HNF1A	ENSG00000135100	duodenum
RBPMS2	ENSG00000166831	duodenum
ZNF585A	ENSG00000196967	duodenum
ZNF585B	ENSG00000245680	duodenum
PCF11	ENSG00000165494	duodenum
KRAS	ENSG00000133703	duodenum
GRID2	ENSG00000152208	duodenum
COL6A5	ENSG00000172752	duodenum
GRAMD1A	ENSG00000089351	duodenum
ARID4A	ENSG00000032219	duodenum
GP2	ENSG00000169347	duodenum
LGALS2	ENSG00000100079	duodenum
PLEKHG7	ENSG00000187510	duodenum
CDHR2	ENSG00000074276	duodenum
HAL	ENSG00000084110	duodenum
ZNF418	ENSG00000196724	duodenum
ZNF552	ENSG00000178935	duodenum
ZNF587	ENSG00000198466	duodenum
ZNF814	ENSG00000204514	duodenum
ZNF587B	ENSG00000269343	duodenum
TMEM74B	ENSG00000125895	duodenum
B3GNT2	ENSG00000170340	duodenum
NRXN3	ENSG00000021645	duodenum
SLC4A3	ENSG00000114923	duodenum
C16ORF62	ENSG00000103544	duodenum
LRRC32	ENSG00000137507	duodenum
MYBL1	ENSG00000185697	duodenum
CCDC151	ENSG00000198003	duodenum
OR10J3	ENSG00000196266	duodenum
ACBD7	ENSG00000176244	duodenum
CDX2	ENSG00000165556	duodenum
CLCA1	ENSG00000016490	duodenum
PYY	ENSG00000131096	duodenum
GPA33	ENSG00000143167	duodenum
TMEM207	ENSG00000198398	duodenum
CDX1	ENSG00000113722	duodenum
MSANTD1	ENSG00000188981	duodenum
REG4	ENSG00000134193	duodenum
IRX3	ENSG00000177508	duodenum
PLCB3	ENSG00000149782	duodenum
MUC13	ENSG00000173702	duodenum
CHAT	ENSG00000070748	duodenum
NANOGNB	ENSG00000205857	duodenum
SERPINE3	ENSG00000253309	duodenum
GNAS	ENSG00000087460	duodenum
ZBTB40	ENSG00000184677	duodenum
EYA3	ENSG00000158161	duodenum
OR4C16	ENSG00000181935	duodenum
FBXW12	ENSG00000164049	duodenum
LBP	ENSG00000129988	duodenum
ADAM30	ENSG00000134249	duodenum
DNAJC11	ENSG00000007923	duodenum
OR2T10	ENSG00000184022	duodenum
NPNT	ENSG00000168743	duodenum
GLP2R	ENSG00000065325	duodenum
RNF166	ENSG00000158717	duodenum
DCLK2	ENSG00000170390	duodenum
COL9A2	ENSG00000049089	duodenum
PSORS1C1	ENSG00000204540	duodenum
VAX1	ENSG00000148704	duodenum
SPINK4	ENSG00000122711	duodenum
ATP11C	ENSG00000101974	duodenum
RAB3C	ENSG00000152932	duodenum
RASL12	ENSG00000103710	duodenum
HSD11B2	ENSG00000176387	duodenum
TTK	ENSG00000112742	duodenum
DHDH	ENSG00000104808	duodenum
PCK2	ENSG00000100889	duodenum
MTHFD1L	ENSG00000120254	duodenum
UGT2A1	ENSG00000173610+ENSG00000270386	duodenum
WFDC3	ENSG00000124116	duodenum
LOC101929773	ENSG00000109181	duodenum
UGT2A2	ENSG00000271271	duodenum
UGT2A3	ENSG00000135220	duodenum
UGT2B11	ENSG00000213759	duodenum
UGT2B15	ENSG00000196620	duodenum
UGT2B17	ENSG00000197888	duodenum
UGT2B28	ENSG00000135226	duodenum
UGT2B7	ENSG00000171234	duodenum
TP53INP2	ENSG00000078804	duodenum
PRSS12	ENSG00000164099	duodenum
DEFB112	ENSG00000180872	duodenum
OPRD1	ENSG00000116329	duodenum
FGFBP3	ENSG00000174721	duodenum
R3HCC1	ENSG00000104679	duodenum
PSMB10	ENSG00000205220	duodenum
OR4B1	ENSG00000175619	duodenum
CADPS	ENSG00000163618	duodenum
SYP	ENSG00000102003	duodenum
LRFN5	ENSG00000165379	duodenum
WIPI1	ENSG00000070540	duodenum
MARC1	ENSG00000186205	duodenum
RABGGTB	ENSG00000137955	duodenum
HSD3B7	ENSG00000099377	duodenum
RPP38	ENSG00000152464	duodenum
LYPLA1	ENSG00000120992	duodenum
ANKRD29	ENSG00000154065	duodenum
CDH17	ENSG00000079112	duodenum
SLC9A3	ENSG00000066230	duodenum
IFNE	ENSG00000184995	duodenum
ZNF256	ENSG00000152454	duodenum
INSC	ENSG00000188487	duodenum
XG	ENSG00000124343	duodenum
C7ORF34	ENSG00000165131	duodenum
C10ORF67	ENSG00000179133	duodenum
KLHL17	ENSG00000187961	duodenum
HOXD12	ENSG00000170178	duodenum
TBC1D32	ENSG00000146350	duodenum
TRPM4	ENSG00000130529	duodenum
MUC4	ENSG00000145113	duodenum
PBLD	ENSG00000108187	duodenum
RNF186	ENSG00000178828	duodenum
CNTN1	ENSG00000018236	duodenum
MPLKIP	ENSG00000168303	duodenum
MEP1A	ENSG00000112818	duodenum
KRT222	ENSG00000213424	duodenum
SYCE1L	ENSG00000205078	duodenum
SULT1A1	ENSG00000196502	duodenum
SULT1A3	ENSG00000213648+ENSG00000261052	duodenum
ELAVL2	ENSG00000107105	duodenum
PAGE4	ENSG00000101951	duodenum
GPN2	ENSG00000142751	duodenum
DMRT3	ENSG00000064218	duodenum
ZNF564	ENSG00000249709	duodenum
SCGN	ENSG00000079689	duodenum
SST	ENSG00000157005	duodenum
SPINK1	ENSG00000164266	duodenum
CHGB	ENSG00000089199	duodenum
FAM110C	ENSG00000184731	duodenum
ZNF432	ENSG00000256087	duodenum
KHNYN	ENSG00000100441	duodenum
CPE	ENSG00000109472	duodenum
AOAH	ENSG00000136250	duodenum
FBXL22	ENSG00000197361	duodenum
KCNQ1	ENSG00000053918	duodenum
GPR137	ENSG00000173264	duodenum
RANBP10	ENSG00000141084	duodenum
EBP	ENSG00000147155	duodenum
C15ORF48	ENSG00000166920	duodenum
RSAD1	ENSG00000136444	duodenum
CEP41	ENSG00000106477	duodenum
CES3	ENSG00000172828	duodenum
CLEC14A	ENSG00000176435	duodenum
ANKRD32	ENSG00000133302	duodenum
AGMAT	ENSG00000116771	duodenum
WNT2B	ENSG00000134245	duodenum
TMEM221	ENSG00000188051	duodenum
USB1	ENSG00000103005	duodenum
B3GNT7	ENSG00000156966	duodenum
SLC7A1	ENSG00000139514	duodenum
INPP5K	ENSG00000132376	duodenum
KIF12	ENSG00000136883	duodenum
MS4A5	ENSG00000166930	duodenum
DNASE1	ENSG00000213918	duodenum
KRT20	ENSG00000171431	duodenum
ZSWIM4	ENSG00000132003	duodenum
CASP6	ENSG00000138794	duodenum
FBN3	ENSG00000142449	duodenum
HMGCS2	ENSG00000134240	duodenum
SRSF12	ENSG00000154548	duodenum
CTSE	ENSG00000196188	duodenum
NDNF	ENSG00000173376	duodenum
DUSP19	ENSG00000162999	duodenum
ASIP	ENSG00000101440	duodenum
CEPT1	ENSG00000134255	duodenum
SCIN	ENSG00000006747	duodenum
COL2A1	ENSG00000139219	duodenum
TCF23	ENSG00000163792	duodenum
RIPPLY2	ENSG00000203877	duodenum
PET117	ENSG00000232838	duodenum
KRTAP9-2	ENSG00000239886	duodenum
KRTAP9-4	ENSG00000241595	duodenum
KRTAP9-7	ENSG00000180386	duodenum
KRTAP9-6	ENSG00000212659	duodenum
KRTAP9-8	ENSG00000187272	duodenum
KRTAP9-9	ENSG00000198083	duodenum
KRTAP9-3	ENSG00000204873	duodenum
OSR2	ENSG00000164920	duodenum
HS3ST2	ENSG00000122254	duodenum
SERHL2	ENSG00000183569	duodenum
FMO5	ENSG00000131781	duodenum
ABCB4	ENSG00000005471	duodenum
AQP8	ENSG00000103375	duodenum
CHMP5	ENSG00000086065	duodenum
ANKRD10	ENSG00000088448	duodenum
SGK2	ENSG00000101049	duodenum
SETD1B	ENSG00000139718	duodenum
ZNF324	ENSG00000083812	duodenum
CNKSR3	ENSG00000153721	duodenum
EFHD1	ENSG00000115468	duodenum
EDDM3A	ENSG00000181562	duodenum
SLC35B2	ENSG00000157593	duodenum
BAIAP2L1	ENSG00000006453	duodenum
LRRC40	ENSG00000066557	duodenum
TSPAN8	ENSG00000127324	duodenum
AKAP10	ENSG00000108599	duodenum
CHDH	ENSG00000016391	duodenum
CKLF-CMTM1	ENSG00000254788	duodenum
RAB27B	ENSG00000041353	duodenum
SLC22A14	ENSG00000144671	duodenum
RAC1	ENSG00000136238	duodenum
STRN4	ENSG00000090372	duodenum
KRTCAP3	ENSG00000157992	duodenum
PRG4	ENSG00000116690	duodenum
OR9K2	ENSG00000170605	duodenum
UBE2QL1	ENSG00000215218	duodenum
GLE1	ENSG00000119392	duodenum
ETHE1	ENSG00000105755	duodenum
LRP6	ENSG00000070018	duodenum
VWDE	ENSG00000146530	duodenum
EGFL6	ENSG00000198759	duodenum
FPR2	ENSG00000171049	duodenum
ACY3	ENSG00000132744	duodenum
DBF4B	ENSG00000161692	duodenum
PRAC1	ENSG00000159182	duodenum
RFPL4B	ENSG00000251258	duodenum
CLDN4	ENSG00000189143	duodenum
CFI	ENSG00000205403	duodenum
ZNF354B	ENSG00000178338	duodenum
CCDC102A	ENSG00000135736	duodenum
