MEROPS_code,MEROPS_name,Respiratory system,Lung,Gastrointestinal tract
C44.001,amidophosphoribosyltransferase precursor,1,1,1
S09.007,fibroblast activation protein alpha subunit,1,0,1
M49.001,dipeptidyl-peptidase III,1,1,1
S26.002,mitochondrial inner membrane peptidase 1,1,1,1
S01.215,coagulation factor VIIa,0,0,1
S01.278,HtrA2 peptidase,0,0,1
C89.002,N-acylethanolamine acid amidase precursor,1,1,1
M01.024,ERAP2 aminopeptidase,1,1,1
S01.325,epidermis-specific SP-like putative peptidase,0,1,1
C01.035,cathepsin O,1,1,1
M12.005,procollagen C-peptidase,1,1,1
S60.973,melanotransferrin domain 1,1,1,1
S60.976,melanotransferrin domain 2,1,1,1
C14.009,caspase-8,1,1,1
C14.011,caspase-10,1,1,1
C02.017,calpain-12,1,0,1
M01.003,aminopeptidase A,1,1,1
P02.018,GPR125 ({Homo sapiens})-type protein,1,1,1
M01.011,cystinyl aminopeptidase,1,1,1
C19.976,ubiquitin-specific peptidase 43 [misleading],0,0,1
S54.953,iRhom2,0,0,1
S33.013,abhydrolase domain-containing protein 4,0,0,1
S71.002,MUC3 self-cleaving mucin,1,0,1
I32.003,BIRC-3 protein,1,0,1
I32.003,BIRC-3 protein,1,1,1
I32.007,BIRC-7 protein,1,0,1
I32.007,BIRC-7 protein,1,1,1
I32.UPW,family I32 unassigned peptidase inhibitors,1,0,1
I32.UPW,family I32 unassigned peptidase inhibitors,1,1,1
S09.A50,acyl-coenzyme A amino acid N-acyltransferase 2,0,0,1
P02.009,latrophilin 2,0,0,1
S01.135,granzyme A,1,0,1
M67.974,eukaryotic translation initiation factor 3 subunit F,0,1,1
M19.002,membrane-bound dipeptidase-2,1,1,1
C78.001,UfSP1 peptidase,0,0,1
C19.064,ubiquitin-specific peptidase 45,1,1,1
C85.008,OTU2 peptidase ({Saccharomyces cerevisiae}-type),1,0,1
S68.001,PIDD auto-processing protein unit 1,1,1,1
S68.002,PIDD auto-processing protein unit 2,1,1,1
C48.003,SENP3 peptidase,1,1,1
I25.007,cystatin F,0,0,1
C02.021,calpain-14,0,0,1
C101.001,OTULIN peptidase,1,0,1
M10.024,membrane-type matrix metallopeptidase-6,0,0,1
M14.004,carboxypeptidase N,0,0,1
X28.001,carboxypeptidase N 83 kDa chain,0,0,1
S01.074,marapsin,1,0,1
I63.UNW,family I63 unassigned peptidase inhibitor homologues,1,1,1
I63.UNW,family I63 unassigned peptidase inhibitor homologues,0,1,1
S33.981,hypothetical protein,1,1,1
C19.009,ubiquitin-specific peptidase 6,1,1,1
C19.044,ubiquitin-specific peptidase 32,1,1,1
S08.075,PCSK6 peptidase,1,0,1
M16.002,insulysin,1,1,1
M16.982,insulysin unit 2,1,1,1
M16.984,insulysin unit 3,1,1,1
S01.969,polyserase-1A unit 3,0,0,1
S09.065,protein bat5,1,0,1
P02.017,GPR126 vascular inducible G protein-coupled receptor,0,0,1
I25.027,cystatin-related epididymal spermatogenic protein,0,0,1
M10.016,membrane-type matrix metallopeptidase-3,1,1,1
S01.365,TMPRSS11B peptidase,1,0,1
S01.028,tryptase gamma 1,0,0,1
C111.950,erythrocyte membrane protein band 4.2,0,0,1
C19.023,ubiquitin-specific peptidase 17,0,0,1
C19.078,USP17-like peptidase,0,0,1
C19.A82,USP17L11,0,0,1
C19.A89,USP17L12,0,0,1
C19.A90,USP17L13,0,0,1
C19.A91,USP17L15,0,0,1
C19.A92,USP17L17,0,0,1
C19.A93,USP17L18,0,0,1
C19.A94,USP17L19,0,0,1
C19.A83,USP17L2,0,0,1
C19.A95,USP17L20,0,0,1
C19.A96,USP17L21,0,0,1
C19.A97,USP17L22,0,0,1
C19.A86,USP17L5,0,0,1
C19.054,ubiquitin-specific peptidase 28,1,1,1
M14.020,carboxypeptidase A5,1,0,1
C02.007,calpain-8,1,0,1
C44.972,glutamine:fructose-6-phosphate amidotransferase,0,0,1
S01.224,hepsin,1,1,1
M67.011,MPN domain-containing protein ({Homo sapiens}),1,1,1
I08.953,mucin 5B,1,0,1
M12.028,ADAMTS18 peptidase,1,0,1
S01.971,azurocidin,0,0,1
A22.007,signal peptide peptidase-like protein 2A,1,1,1
T03.024,gamma-glutamyltransferase 6,1,1,1
M14.026,cytosolic carboxypeptidase 3,1,0,1
I47.001,latexin,1,1,1
P02.001,EGF-like module containing mucin-like hormone receptor-like 2,1,1,1
I01.015,SPINK6,1,0,1
C19.081,ubiquitin-specific peptidase 53,0,0,1
S09.987,neuroligin 3,0,0,1
C26.001,gamma-glutamyl hydrolase,1,1,1
I04.009,squamous cell carcinoma antigen 2,1,0,0
C85.003,OTUD3 peptidase ({Homo sapiens}),1,1,1
I27.004,calpastatin inhibitor unit 4,1,1,1
P02.021,GPR133 ({Homo sapiens})-type protein,1,0,0
S33.978,hypothetical protein flj22408 (epoxide hydrolase),1,0,0
S01.318,marapsin-2,1,0,0
C02.972,androglobin,1,0,0
S01.189,complement component C1r-like peptidase,1,0,1
I08.951,mucin-5AC,1,0,0
S01.011,testisin,1,1,0
M14.027,cytosolic carboxypeptidase 6,1,0,0
C01.973,tubulointerstitial nephritis antigen,1,0,1
M01.022,arginyl aminopeptidase-like 1,1,0,0
I25.067,fetuin-B domain 2,1,0,1
I25.950,kininogen inhibitor unit 1,1,0,1
P02.003,EGF-like module containing mucin-like hormone receptor-like 3,1,0,0
C78.002,UfSP2 peptidase,1,1,1
M48.003,farnesylated-protein converting enzyme 1,1,1,1
M12.235,ADAMTS10 peptidase,1,0,0
I08.UPW,family I8 unassigned peptidase inhibitors,1,1,1
I04.953,angiotensinogen,1,0,1
I43.001,oprin,1,1,0
S33.986,NDRG4 protein,1,0,0
S01.974,haptoglobin-related protein,1,1,1
I04.013,serpin B8,1,1,1
M10.006,matrix metallopeptidase-10 ({Homo sapiens}-type),1,0,0
M12.956,ADAM7 protein,1,1,1
C97.001,desumoylating isopeptidase 1,1,1,1
T03.017,gamma-glutamyltransferase-like protein 3,1,1,1
M12.979,ADAM23 protein,1,1,1
C19.069,ubiquitin-specific peptidase 40,1,0,0
S01.034,"transmembrane peptidase, serine 4",1,0,0
M10.023,membrane-type matrix metallopeptidase-5,1,0,1
M24.028,mitochondrial methionyl aminopeptidase,1,0,0
M10.026,matrix metallopeptidase-21,1,0,0
I04.955,thyroxin-binding globulin,0,0,1
M20.021,cytosolic beta-alanyl-lysine dipeptidase,1,1,1
I01.060,SPINK13,0,0,1
C95.001,lysosomal 66.3 kDa protein ({Mus musculus}-type),0,1,1
M67.003,STAM-binding protein-like 1,0,1,0
M12.210,ADAM10 peptidase,1,1,1
I43.951,immunoglobulin alpha Fc receptor,0,1,1
S01.375,polyserase-3 unit 2,0,0,1
S01.072,matriptase-3,0,0,1
M14.029,cytosolic carboxypeptidase 2,0,0,1
S16.006,psLon peptidase,0,0,1
S01.134,myeloblastin,0,0,1
M10.007,matrix metallopeptidase-11,1,0,1
C86.002,ataxin-3-like peptidase,1,1,0
C56.972,phosphoribosylformylglycinamidine synthase,0,1,1
P02.006,cadherin EGF LAG seven-pass G-type receptor 2 precursor ({Homo sapiens}),0,0,1
S09.051,FLJ1 putative peptidase,1,1,1
C19.020,ubiquitin-specific peptidase 12,0,1,1
C19.052,ubiquitin-specific peptidase 46,0,1,1
I04.016,serpin B12,0,1,0
S01.979,protein Z,0,1,0
S33.987,NDRG3 protein,1,1,1
A28.002,nuclear receptor-interacting protein 3,0,1,0
I17.003,whey acidic protein-2,0,1,0
M14.012,metallocarboxypeptidase Z,0,1,0
S01.306,kallikrein-related peptidase 13,0,1,0
C14.P01,caspase-12 pseudogene ({Homo sapiens}),0,1,0
M12.246,ADAMTS20 peptidase ({Homo sapiens}-type),0,1,0
A22.004,signal peptide peptidase-like protein 2B,1,1,1
P02.036,polycystin-1,1,1,1
M50.001,site 2 peptidase,1,1,1
C64.004,trabid peptidase,1,1,1
C19.013,ubiquitin-specific peptidase 2,1,1,1
C19.012,ubiquitin-specific peptidase 13,1,1,1
I01.968,follistatin-related protein 3,1,1,1
S09.018,dipeptidyl-peptidase 8,1,1,1
S09.001,prolyl oligopeptidase,1,1,1
S60.972,serotransferrin precursor (domain 1),0,0,1
S60.975,serotransferrin precursor (domain 2),0,0,1
S79.002,NLRP1 self-cleaving protein,1,1,1
S01.140,chymase ({Homo sapiens}-type),0,0,1
C02.004,calpain-3,1,1,1
M28.018,Fxna peptidase,1,0,0
S54.951,RHBDD3 g.p. ({Homo sapiens}),1,1,1
M10.004,matrix metallopeptidase-9,0,0,1
I32.004,XIAP caspase inhibitor,1,1,1
S12.004,LACT-1 peptidase,1,1,1
S79.001,CARD8 self-cleaving protein,1,1,1
C121.002,Probable ubiquitin carboxyl-terminal hydrolase MINDY-4,1,1,1
C14.006,caspase-2,1,1,1
M28.973,transferrin receptor 2 protein,0,1,0
M14.951,aortic carboxypeptidase-like protein,1,1,1
I31.954,testican-2,1,1,1
I32.002,BIRC-2 protein,1,1,1
S01.146,granzyme K,0,1,0
M20.973,aminoacylase,0,0,1
I32.006,BIRC-6 protein,1,1,1
C54.004,autophagin-3,1,1,1
C115.002,FAM63B g.p. ({Homo sapiens}),1,1,1
T01.976,proteasome subunit alpha 1,1,1,1
I01.013,SPINK5 inhibitor unit 1,0,0,1
I01.028,SPINK5 inhibitor unit 10,0,0,1
I01.029,SPINK5 inhibitor unit 3,0,0,1
I01.030,SPINK5 inhibitor unit 4,0,0,1
I01.032,SPINK5 inhibitor unit 6,0,0,1
I01.044,SPINK5 inhibitor unit 15,0,0,1
I01.950,SPINK5 inhibitor unit 2,0,0,1
I01.951,SPINK5 inhibitor unit 5,0,0,1
I01.953,SPINK5 inhibitor unit 7,0,0,1
I01.954,SPINK5 inhibitor unit 8,0,0,1
I01.955,SPINK5 inhibitor unit 9,0,0,1
I01.957,SPINK5 inhibitor unit 11,0,0,1
I01.958,SPINK5 inhibitor unit 12,0,0,1
I01.959,SPINK5 inhibitor unit 13,0,0,1
I01.960,SPINK5 inhibitor unit 14,0,0,1
M14.028,cytosolic carboxypeptidase 1,1,1,1
C50.002,separase ({Homo sapiens}-type),1,1,1
C19.053,ubiquitin-specific peptidase 37,1,1,1
C69.003,secernin 1,1,0,1
M10.027,matrix metallopeptidase-22,1,1,1
C14.001,caspase-1,1,1,1
C48.009,SENP7 peptidase,1,1,1
M41.007,Afg3-like protein 2,1,1,1
S09.062,hypothetical protein,1,1,1
M12.244,ADAM33 peptidase,1,0,1
I02.975,9230105I15Rik protein ({Mus musculus}) and similar,0,0,1
I02.UPW,family I2 unassigned peptidase inhibitors,0,0,1
M20.006,carnosine dipeptidase I,0,1,1
I15.UNW,family I15 unassigned peptidase inhibitor homologues,1,1,1
M12.217,ADAM17 peptidase,1,1,1
C85.009,OTUD6B peptidase ({Homo sapiens}),1,1,1
C19.041,ubiquitin-specific peptidase 25,1,1,1
C19.021,ubiquitin-specific peptidase 16,1,1,1
M12.241,ADAMTS13 peptidase,1,0,0
M38.979,hypothetical protein like 5730457F11RIK,1,1,1
M48.017,metalloprotease-related protein-1,1,1,1
C85.004,OTUD1 peptidase ({Homo sapiens}),1,1,1
S01.277,HtrA1 peptidase ({Homo sapiens}-type),1,0,1
S26.010,signalase (animal) 21 kDa component,0,0,1
I02.009,hepatocyte growth factor activator inhibitor 2 inhibitor unit 1,1,1,1
I02.010,hepatocyte growth factor activator inhibitor 2 inhibitor unit 2,1,1,1
S01.160,kallikrein 1,1,0,1
S09.995,neuroligin 2,0,0,1
S01.284,HtrA3 peptidase,1,1,1
C19.107,ubiquitin-specific peptidase 32,1,1,1
M13.007,endothelin-converting enzyme-like 1 endopeptidase,0,1,1
C26.A36,ctps g.p. ({Brachydanio rerio}),1,1,1
C14.026,paracaspase,1,1,1
C01.037,cathepsin W,1,1,0
G05.002,RCE1 peptidase ({Homo sapiens}-type),1,1,1
I29.UPW,family I29 unassigned peptidase inhibitors,1,1,1
S26.A09,CG11110 protein ({Drosophila melanogaster}),1,1,1
S01.292,HAT-like putative peptidase 2,1,0,1
I04.004,protein C inhibitor,1,0,1
I04.002,alpha-1-antichymotrypsin,0,1,1
S01.139,granzyme M,0,1,0
M98.A03,TRPM8 channel-associated factor 2,1,0,1
M17.006,leucyl aminopeptidase-1 ({Caenorhabditis}-type),1,1,1
T01.013,proteasome subunit beta1i,1,1,1
C64.001,Cezanne peptidase,1,1,1
S01.258,trypsin-2 type A,0,0,1
T01.983,proteasome subunit beta 3,1,1,1
